Model_name,Input_shape,nb_layers,nb_conv,nb_bn,nb_fc,nb_pooling,sum_activations,weighted_sum_neurons,fc_multiply,params_conv,params_bn,params_fc,flatten,avg_pooling
DenseNet-121,"(1, 32, 32, 3)",429,120,121,1,4,1025748,57819136,1024000,6870208,167296,1025000,0,1
DenseNet-121,"(1, 56, 56, 3)",429,120,121,1,4,2844916,161868800,1024000,6870208,167296,1025000,0,1
DenseNet-121,"(1, 64, 64, 3)",429,120,121,1,4,4085332,231276544,1024000,6870208,167296,1025000,0,1
DenseNet-121,"(1, 75, 75, 3)",429,120,121,1,4,5133654,291191552,1024000,6870208,167296,1025000,0,1
DenseNet-121,"(1, 112, 112, 3)",429,120,121,1,4,12343700,701362176,1024000,6870208,167296,1025000,0,1
DenseNet-121,"(1, 128, 128, 3)",429,120,121,1,4,16313172,925106176,1024000,6870208,167296,1025000,0,1
DenseNet-121,"(1, 150, 150, 3)",429,120,121,1,4,22114052,1258380992,1024000,6870208,167296,1025000,0,1
DenseNet-121,"(1, 224, 224, 3)",429,120,121,1,4,49926612,2833137664,1024000,6870208,167296,1025000,0,1
DenseNet-121,"(1, 240, 240, 3)",429,120,121,1,4,56978324,3236884480,1024000,6870208,167296,1025000,0,1
DenseNet-121,"(1, 256, 256, 3)",429,120,121,1,4,65203540,3700424704,1024000,6870208,167296,1025000,0,1
DenseNet-121,"(1, 299, 299, 3)",429,120,121,1,4,86942038,4936657664,1024000,6870208,167296,1025000,0,1
DenseNet-121,"(1, 320, 320, 3)",429,120,121,1,4,101866068,5781913600,1024000,6870208,167296,1025000,0,1
DenseNet-121,"(1, 331, 331, 3)",429,120,121,1,4,106773846,6062848768,1024000,6870208,167296,1025000,0,1
DenseNet-121,"(1, 448, 448, 3)",429,120,121,1,4,199625812,11332550656,1024000,6870208,167296,1025000,0,1
DenseNet-121,"(1, 480, 480, 3)",429,120,121,1,4,229156308,13009305600,1024000,6870208,167296,1025000,0,1
DenseNet-121,"(1, 568, 568, 3)",429,120,121,1,4,317608180,18043890688,1024000,6870208,167296,1025000,0,1
DenseNet-121,"(1, 600, 600, 3)",429,120,121,1,4,354588788,20144442368,1024000,6870208,167296,1025000,0,1
DenseNet-121,"(1, 800, 800, 3)",429,120,121,1,4,636453588,36136960000,1024000,6870208,167296,1025000,0,1
DenseNet-121,"(1, 896, 896, 3)",429,120,121,1,4,798349140,45330202624,1024000,6870208,167296,1025000,0,1
DenseNet-121,"(1, 1024, 1024, 3)",429,120,121,1,4,1042717012,59206795264,1024000,6870208,167296,1025000,0,1
DenseNet-121,"(1, 1200, 1200, 3)",429,120,121,1,4,1430212244,81228820480,1024000,6870208,167296,1025000,0,1
DenseNet-121,"(1, 1600, 1600, 3)",429,120,121,1,4,2545544788,144547840000,1024000,6870208,167296,1025000,0,1
DenseNet-121,"(1, 1792, 1792, 3)",429,120,121,1,4,3193095508,181320810496,1024000,6870208,167296,1025000,0,1
DenseNet-121,"(1, 2400, 2400, 3)",429,120,121,1,4,5727275988,325232640000,1024000,6870208,167296,1025000,0,1
DenseNet-161,"(1, 32, 32, 3)",566,160,161,1,4,1863304,157667328,2208000,26252064,439872,2209000,0,0
DenseNet-161,"(1, 56, 56, 3)",566,160,161,1,4,4894312,419019264,2208000,26252064,439872,2209000,0,0
DenseNet-161,"(1, 64, 64, 3)",566,160,161,1,4,7453216,630669312,35328000,26252064,439872,2209000,0,0
DenseNet-161,"(1, 75, 75, 3)",566,160,161,1,4,8973307,762514560,35328000,26252064,439872,2209000,0,0
DenseNet-161,"(1, 112, 112, 3)",566,160,161,1,4,22375752,1900873728,178848000,26252064,439872,2209000,0,0
DenseNet-161,"(1, 128, 128, 3)",566,160,161,1,4,29812864,2522677248,565248000,26252064,439872,2209000,0,0
DenseNet-161,"(1, 150, 150, 3)",566,160,161,1,4,39588460,3367040544,565248000,26252064,439872,2209000,0,0
DenseNet-161,"(1, 224, 224, 3)",566,160,161,1,4,91301896,7725699072,5301408000,26252064,439872,2209000,0,0
DenseNet-161,"(1, 240, 240, 3)",566,160,161,1,4,103807624,8800634880,5301408000,26252064,439872,2209000,0,0
DenseNet-161,"(1, 256, 256, 3)",566,160,161,1,4,119251456,10090708992,9043968000,26252064,439872,2209000,0,0
DenseNet-161,"(1, 299, 299, 3)",566,160,161,1,4,157354659,13328548992,14486688000,26252064,439872,2209000,0,0
DenseNet-161,"(1, 320, 320, 3)",566,160,161,1,4,186330400,15766732800,22080000000,26252064,439872,2209000,0,0
DenseNet-161,"(1, 331, 331, 3)",566,160,161,1,4,193458427,16385035392,22080000000,26252064,439872,2209000,0,0
DenseNet-161,"(1, 448, 448, 3)",566,160,161,1,4,365207584,30902796288,84822528000,26252064,439872,2209000,0,0
DenseNet-161,"(1, 480, 480, 3)",566,160,161,1,4,419243400,35475148800,111780000000,26252064,439872,2209000,0,0
DenseNet-161,"(1, 568, 568, 3)",566,160,161,1,4,577738600,48947968512,184414368000,26252064,439872,2209000,0,0
DenseNet-161,"(1, 600, 600, 3)",566,160,161,1,4,645217536,54661372416,231787008000,26252064,439872,2209000,0,0
DenseNet-161,"(1, 800, 800, 3)",566,160,161,1,4,1164565000,98542080000,862500000000,26252064,439872,2209000,0,0
