layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 256, 256, 3]",196608,float32,NaN,NaN,NaN,NaN,"[None, 256, 256, 3]",196608,0
conv2d_1,Conv2D,"[None, 256, 256, 3]",1,float32,96,"[11, 11]",relu,True,"[None, 62, 62, 96]",369024,34944
max_pooling2d_1,MaxPooling2D,"[None, 62, 62, 96]",369024,float32,NaN,NaN,NaN,NaN,"[None, 30, 30, 96]",86400,0
conv2d_2,Conv2D,"[None, 30, 30, 96]",86400,float32,256,"[5, 5]",relu,True,"[None, 26, 26, 256]",173056,614656
max_pooling2d_2,MaxPooling2D,"[None, 26, 26, 256]",173056,float32,NaN,NaN,NaN,NaN,"[None, 12, 12, 256]",36864,0
conv2d_3,Conv2D,"[None, 12, 12, 256]",36864,float32,384,"[3, 3]",relu,True,"[None, 10, 10, 384]",38400,885120
conv2d_4,Conv2D,"[None, 10, 10, 384]",38400,float32,384,"[3, 3]",relu,True,"[None, 8, 8, 384]",24576,1327488
conv2d_5,Conv2D,"[None, 8, 8, 384]",24576,float32,256,"[3, 3]",relu,True,"[None, 6, 6, 256]",9216,884992
max_pooling2d_3,MaxPooling2D,"[None, 6, 6, 256]",9216,float32,NaN,NaN,NaN,NaN,"[None, 2, 2, 256]",1024,0
flatten_1,Flatten,"[None, 2, 2, 256]",1024,float32,NaN,NaN,NaN,NaN,"[None, 1024]",1024,0
dense_1,Dense,"[None, 1024]",1024,float32,NaN,NaN,relu,True,"[None, 4096]",4096,4198400
dropout_1,Dropout,"[None, 4096]",4096,float32,NaN,NaN,NaN,NaN,"[None, 4096]",4096,0
dense_2,Dense,"[None, 4096]",4096,float32,NaN,NaN,relu,True,"[None, 4096]",4096,16781312
dense_3,Dense,"[None, 4096]",4096,float32,NaN,NaN,relu,True,"[None, 4096]",4096,16781312
dropout_2,Dropout,"[None, 4096]",4096,float32,NaN,NaN,NaN,NaN,"[None, 4096]",4096,0
dense_4,Dense,"[None, 4096]",4096,float32,NaN,NaN,softmax,True,"[None, 1]",1,4097
