layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 448, 448, 3]",602112,float32,NaN,NaN,NaN,NaN,"[None, 448, 448, 3]",602112,0
zero_padding2d_1,ZeroPadding2D,"[None, 448, 448, 3]",1,float32,NaN,NaN,NaN,NaN,"[None, 454, 454, 3]",618348,0
conv1/conv,Conv2D,"[None, 454, 454, 3]",618348,float32,64,"[7, 7]",linear,False,"[None, 224, 224, 64]",3211264,9408
conv1/bn,BatchNormalization,"[None, 224, 224, 64]",3211264,float32,NaN,NaN,NaN,NaN,"[None, 224, 224, 64]",3211264,256
conv1/relu,Activation,"[None, 224, 224, 64]",3211264,float32,NaN,NaN,relu,NaN,"[None, 224, 224, 64]",3211264,0
zero_padding2d_2,ZeroPadding2D,"[None, 224, 224, 64]",3211264,float32,NaN,NaN,NaN,NaN,"[None, 226, 226, 64]",3268864,0
pool1,MaxPooling2D,"[None, 226, 226, 64]",3268864,float32,NaN,NaN,NaN,NaN,"[None, 112, 112, 64]",802816,0
conv2_block1_0_bn,BatchNormalization,"[None, 112, 112, 64]",802816,float32,NaN,NaN,NaN,NaN,"[None, 112, 112, 64]",802816,256
conv2_block1_0_relu,Activation,"[None, 112, 112, 64]",802816,float32,NaN,NaN,relu,NaN,"[None, 112, 112, 64]",802816,0
conv2_block1_1_conv,Conv2D,"[None, 112, 112, 64]",802816,float32,128,"[1, 1]",linear,False,"[None, 112, 112, 128]",1605632,8192
conv2_block1_1_bn,BatchNormalization,"[None, 112, 112, 128]",1605632,float32,NaN,NaN,NaN,NaN,"[None, 112, 112, 128]",1605632,512
conv2_block1_1_relu,Activation,"[None, 112, 112, 128]",1605632,float32,NaN,NaN,relu,NaN,"[None, 112, 112, 128]",1605632,0
conv2_block1_2_conv,Conv2D,"[None, 112, 112, 128]",1605632,float32,32,"[3, 3]",linear,False,"[None, 112, 112, 32]",401408,36864
conv2_block1_concat,Concatenate,"[None, 112, 112, 32]",401408,float32,NaN,NaN,NaN,NaN,"[None, 112, 112, 96]",1204224,0
conv2_block2_0_bn,BatchNormalization,"[None, 112, 112, 96]",1204224,float32,NaN,NaN,NaN,NaN,"[None, 112, 112, 96]",1204224,384
