layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 568, 568, 3]",967872,float32,NaN,NaN,NaN,NaN,"[None, 568, 568, 3]",967872,0
stem_conv,Conv2D,"[None, 568, 568, 3]",1,float32,48,"[3, 3]",linear,False,"[None, 284, 284, 48]",3871488,1296
stem_bn,BatchNormalization,"[None, 284, 284, 48]",3871488,float32,NaN,NaN,NaN,NaN,"[None, 284, 284, 48]",3871488,192
stem_activation,Activation,"[None, 284, 284, 48]",3871488,float32,NaN,NaN,swish,NaN,"[None, 284, 284, 48]",3871488,0
block1a_dwconv,DepthwiseConv2D,"[None, 284, 284, 48]",3871488,float32,NaN,"[3, 3]",linear,False,"[None, 284, 284, 48]",3871488,432
block1a_bn,BatchNormalization,"[None, 284, 284, 48]",3871488,float32,NaN,NaN,NaN,NaN,"[None, 284, 284, 48]",3871488,192
block1a_activation,Activation,"[None, 284, 284, 48]",3871488,float32,NaN,NaN,swish,NaN,"[None, 284, 284, 48]",3871488,0
block1a_se_squeeze,GlobalAveragePooling2D,"[None, 284, 284, 48]",3871488,float32,NaN,NaN,NaN,NaN,"[None, 48]",48,0
block1a_se_reshape,Reshape,"[None, 48]",48,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 48]",48,0
block1a_se_reduce,Conv2D,"[None, 1, 1, 48]",48,float32,12,"[1, 1]",swish,True,"[None, 1, 1, 12]",12,588
block1a_se_expand,Conv2D,"[None, 1, 1, 12]",12,float32,48,"[1, 1]",sigmoid,True,"[None, 1, 1, 48]",48,624
block1a_se_excite,Multiply,"[None, 1, 1, 48]",48,float32,NaN,NaN,NaN,NaN,"[None, 284, 284, 48]",3871488,0
block1a_project_conv,Conv2D,"[None, 284, 284, 48]",3871488,float32,24,"[1, 1]",linear,False,"[None, 284, 284, 24]",1935744,1152
block1a_project_bn,BatchNormalization,"[None, 284, 284, 24]",1935744,float32,NaN,NaN,NaN,NaN,"[None, 284, 284, 24]",1935744,96
block1b_dwconv,DepthwiseConv2D,"[None, 284, 284, 24]",1935744,float32,NaN,"[3, 3]",linear,False,"[None, 284, 284, 24]",1935744,216
block1b_bn,BatchNormalization,"[None, 284, 284, 24]",1935744,float32,NaN,NaN,NaN,NaN,"[None, 284, 284, 24]",1935744,96
block1b_activation,Activation,"[None, 284, 284, 24]",1935744,float32,NaN,NaN,swish,NaN,"[None, 284, 284, 24]",1935744,0
block1b_se_squeeze,GlobalAveragePooling2D,"[None, 284, 284, 24]",1935744,float32,NaN,NaN,NaN,NaN,"[None, 24]",24,0
block1b_se_reshape,Reshape,"[None, 24]",24,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 24]",24,0
block1b_se_reduce,Conv2D,"[None, 1, 1, 24]",24,float32,6,"[1, 1]",swish,True,"[None, 1, 1, 6]",6,150
block1b_se_expand,Conv2D,"[None, 1, 1, 6]",6,float32,24,"[1, 1]",sigmoid,True,"[None, 1, 1, 24]",24,168
block1b_se_excite,Multiply,"[None, 1, 1, 24]",24,float32,NaN,NaN,NaN,NaN,"[None, 284, 284, 24]",1935744,0
block1b_project_conv,Conv2D,"[None, 284, 284, 24]",1935744,float32,24,"[1, 1]",linear,False,"[None, 284, 284, 24]",1935744,576
block1b_project_bn,BatchNormalization,"[None, 284, 284, 24]",1935744,float32,NaN,NaN,NaN,NaN,"[None, 284, 284, 24]",1935744,96
block1b_drop,FixedDropout,"[None, 284, 284, 24]",1935744,float32,NaN,NaN,NaN,NaN,"[None, 284, 284, 24]",1935744,0
block1b_add,Add,"[None, 284, 284, 24]",1935744,float32,NaN,NaN,NaN,NaN,"[None, 284, 284, 24]",1935744,0
block2a_expand_conv,Conv2D,"[None, 284, 284, 24]",1935744,float32,144,"[1, 1]",linear,False,"[None, 284, 284, 144]",11614464,3456
block2a_expand_bn,BatchNormalization,"[None, 284, 284, 144]",11614464,float32,NaN,NaN,NaN,NaN,"[None, 284, 284, 144]",11614464,576
block2a_expand_activation,Activation,"[None, 284, 284, 144]",11614464,float32,NaN,NaN,swish,NaN,"[None, 284, 284, 144]",11614464,0
block2a_dwconv,DepthwiseConv2D,"[None, 284, 284, 144]",11614464,float32,NaN,"[3, 3]",linear,False,"[None, 142, 142, 144]",2903616,1296
block2a_bn,BatchNormalization,"[None, 142, 142, 144]",2903616,float32,NaN,NaN,NaN,NaN,"[None, 142, 142, 144]",2903616,576
block2a_activation,Activation,"[None, 142, 142, 144]",2903616,float32,NaN,NaN,swish,NaN,"[None, 142, 142, 144]",2903616,0
block2a_se_squeeze,GlobalAveragePooling2D,"[None, 142, 142, 144]",2903616,float32,NaN,NaN,NaN,NaN,"[None, 144]",144,0
block2a_se_reshape,Reshape,"[None, 144]",144,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 144]",144,0
block2a_se_reduce,Conv2D,"[None, 1, 1, 144]",144,float32,6,"[1, 1]",swish,True,"[None, 1, 1, 6]",6,870
block2a_se_expand,Conv2D,"[None, 1, 1, 6]",6,float32,144,"[1, 1]",sigmoid,True,"[None, 1, 1, 144]",144,1008
block2a_se_excite,Multiply,"[None, 1, 1, 144]",144,float32,NaN,NaN,NaN,NaN,"[None, 142, 142, 144]",2903616,0
block2a_project_conv,Conv2D,"[None, 142, 142, 144]",2903616,float32,32,"[1, 1]",linear,False,"[None, 142, 142, 32]",645248,4608
block2a_project_bn,BatchNormalization,"[None, 142, 142, 32]",645248,float32,NaN,NaN,NaN,NaN,"[None, 142, 142, 32]",645248,128
block2b_expand_conv,Conv2D,"[None, 142, 142, 32]",645248,float32,192,"[1, 1]",linear,False,"[None, 142, 142, 192]",3871488,6144
block2b_expand_bn,BatchNormalization,"[None, 142, 142, 192]",3871488,float32,NaN,NaN,NaN,NaN,"[None, 142, 142, 192]",3871488,768
block2b_expand_activation,Activation,"[None, 142, 142, 192]",3871488,float32,NaN,NaN,swish,NaN,"[None, 142, 142, 192]",3871488,0
block2b_dwconv,DepthwiseConv2D,"[None, 142, 142, 192]",3871488,float32,NaN,"[3, 3]",linear,False,"[None, 142, 142, 192]",3871488,1728
block2b_bn,BatchNormalization,"[None, 142, 142, 192]",3871488,float32,NaN,NaN,NaN,NaN,"[None, 142, 142, 192]",3871488,768
block2b_activation,Activation,"[None, 142, 142, 192]",3871488,float32,NaN,NaN,swish,NaN,"[None, 142, 142, 192]",3871488,0
block2b_se_squeeze,GlobalAveragePooling2D,"[None, 142, 142, 192]",3871488,float32,NaN,NaN,NaN,NaN,"[None, 192]",192,0
block2b_se_reshape,Reshape,"[None, 192]",192,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 192]",192,0
block2b_se_reduce,Conv2D,"[None, 1, 1, 192]",192,float32,8,"[1, 1]",swish,True,"[None, 1, 1, 8]",8,1544
block2b_se_expand,Conv2D,"[None, 1, 1, 8]",8,float32,192,"[1, 1]",sigmoid,True,"[None, 1, 1, 192]",192,1728
block2b_se_excite,Multiply,"[None, 1, 1, 192]",192,float32,NaN,NaN,NaN,NaN,"[None, 142, 142, 192]",3871488,0
block2b_project_conv,Conv2D,"[None, 142, 142, 192]",3871488,float32,32,"[1, 1]",linear,False,"[None, 142, 142, 32]",645248,6144
block2b_project_bn,BatchNormalization,"[None, 142, 142, 32]",645248,float32,NaN,NaN,NaN,NaN,"[None, 142, 142, 32]",645248,128
block2b_drop,FixedDropout,"[None, 142, 142, 32]",645248,float32,NaN,NaN,NaN,NaN,"[None, 142, 142, 32]",645248,0
block2b_add,Add,"[None, 142, 142, 32]",645248,float32,NaN,NaN,NaN,NaN,"[None, 142, 142, 32]",645248,0
block2c_expand_conv,Conv2D,"[None, 142, 142, 32]",645248,float32,192,"[1, 1]",linear,False,"[None, 142, 142, 192]",3871488,6144
block2c_expand_bn,BatchNormalization,"[None, 142, 142, 192]",3871488,float32,NaN,NaN,NaN,NaN,"[None, 142, 142, 192]",3871488,768
block2c_expand_activation,Activation,"[None, 142, 142, 192]",3871488,float32,NaN,NaN,swish,NaN,"[None, 142, 142, 192]",3871488,0
block2c_dwconv,DepthwiseConv2D,"[None, 142, 142, 192]",3871488,float32,NaN,"[3, 3]",linear,False,"[None, 142, 142, 192]",3871488,1728
block2c_bn,BatchNormalization,"[None, 142, 142, 192]",3871488,float32,NaN,NaN,NaN,NaN,"[None, 142, 142, 192]",3871488,768
block2c_activation,Activation,"[None, 142, 142, 192]",3871488,float32,NaN,NaN,swish,NaN,"[None, 142, 142, 192]",3871488,0
block2c_se_squeeze,GlobalAveragePooling2D,"[None, 142, 142, 192]",3871488,float32,NaN,NaN,NaN,NaN,"[None, 192]",192,0
block2c_se_reshape,Reshape,"[None, 192]",192,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 192]",192,0
block2c_se_reduce,Conv2D,"[None, 1, 1, 192]",192,float32,8,"[1, 1]",swish,True,"[None, 1, 1, 8]",8,1544
block2c_se_expand,Conv2D,"[None, 1, 1, 8]",8,float32,192,"[1, 1]",sigmoid,True,"[None, 1, 1, 192]",192,1728
block2c_se_excite,Multiply,"[None, 1, 1, 192]",192,float32,NaN,NaN,NaN,NaN,"[None, 142, 142, 192]",3871488,0
block2c_project_conv,Conv2D,"[None, 142, 142, 192]",3871488,float32,32,"[1, 1]",linear,False,"[None, 142, 142, 32]",645248,6144
block2c_project_bn,BatchNormalization,"[None, 142, 142, 32]",645248,float32,NaN,NaN,NaN,NaN,"[None, 142, 142, 32]",645248,128
block2c_drop,FixedDropout,"[None, 142, 142, 32]",645248,float32,NaN,NaN,NaN,NaN,"[None, 142, 142, 32]",645248,0
