layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 224, 224, 3]",150528,float32,NaN,NaN,NaN,NaN,"[None, 224, 224, 3]",150528,0
conv2d_1,Conv2D,"[None, 224, 224, 3]",1,float32,32,"[3, 3]",linear,False,"[None, 111, 111, 32]",394272,864
batch_normalization_1,BatchNormalization,"[None, 111, 111, 32]",394272,float32,NaN,NaN,NaN,NaN,"[None, 111, 111, 32]",394272,96
activation_1,Activation,"[None, 111, 111, 32]",394272,float32,NaN,NaN,relu,NaN,"[None, 111, 111, 32]",394272,0
conv2d_2,Conv2D,"[None, 111, 111, 32]",394272,float32,32,"[3, 3]",linear,False,"[None, 109, 109, 32]",380192,9216
batch_normalization_2,BatchNormalization,"[None, 109, 109, 32]",380192,float32,NaN,NaN,NaN,NaN,"[None, 109, 109, 32]",380192,96
activation_2,Activation,"[None, 109, 109, 32]",380192,float32,NaN,NaN,relu,NaN,"[None, 109, 109, 32]",380192,0
conv2d_3,Conv2D,"[None, 109, 109, 32]",380192,float32,64,"[3, 3]",linear,False,"[None, 109, 109, 64]",760384,18432
batch_normalization_3,BatchNormalization,"[None, 109, 109, 64]",760384,float32,NaN,NaN,NaN,NaN,"[None, 109, 109, 64]",760384,192
activation_3,Activation,"[None, 109, 109, 64]",760384,float32,NaN,NaN,relu,NaN,"[None, 109, 109, 64]",760384,0
max_pooling2d_1,MaxPooling2D,"[None, 109, 109, 64]",760384,float32,NaN,NaN,NaN,NaN,"[None, 54, 54, 64]",186624,0
conv2d_4,Conv2D,"[None, 54, 54, 64]",186624,float32,80,"[1, 1]",linear,False,"[None, 54, 54, 80]",233280,5120
batch_normalization_4,BatchNormalization,"[None, 54, 54, 80]",233280,float32,NaN,NaN,NaN,NaN,"[None, 54, 54, 80]",233280,240
activation_4,Activation,"[None, 54, 54, 80]",233280,float32,NaN,NaN,relu,NaN,"[None, 54, 54, 80]",233280,0
conv2d_5,Conv2D,"[None, 54, 54, 80]",233280,float32,192,"[3, 3]",linear,False,"[None, 52, 52, 192]",519168,138240
batch_normalization_5,BatchNormalization,"[None, 52, 52, 192]",519168,float32,NaN,NaN,NaN,NaN,"[None, 52, 52, 192]",519168,576
activation_5,Activation,"[None, 52, 52, 192]",519168,float32,NaN,NaN,relu,NaN,"[None, 52, 52, 192]",519168,0
max_pooling2d_2,MaxPooling2D,"[None, 52, 52, 192]",519168,float32,NaN,NaN,NaN,NaN,"[None, 25, 25, 192]",120000,0
conv2d_9,Conv2D,"[None, 25, 25, 192]",120000,float32,64,"[1, 1]",linear,False,"[None, 25, 25, 64]",40000,12288
batch_normalization_9,BatchNormalization,"[None, 25, 25, 64]",40000,float32,NaN,NaN,NaN,NaN,"[None, 25, 25, 64]",40000,192
activation_9,Activation,"[None, 25, 25, 64]",40000,float32,NaN,NaN,relu,NaN,"[None, 25, 25, 64]",40000,0
conv2d_7,Conv2D,"[None, 25, 25, 64]",40000,float32,48,"[1, 1]",linear,False,"[None, 25, 25, 48]",30000,9216
conv2d_10,Conv2D,"[None, 25, 25, 48]",30000,float32,96,"[3, 3]",linear,False,"[None, 25, 25, 96]",60000,55296
batch_normalization_7,BatchNormalization,"[None, 25, 25, 96]",60000,float32,NaN,NaN,NaN,NaN,"[None, 25, 25, 48]",30000,144
batch_normalization_10,BatchNormalization,"[None, 25, 25, 48]",30000,float32,NaN,NaN,NaN,NaN,"[None, 25, 25, 96]",60000,288
activation_7,Activation,"[None, 25, 25, 96]",60000,float32,NaN,NaN,relu,NaN,"[None, 25, 25, 48]",30000,0
activation_10,Activation,"[None, 25, 25, 48]",30000,float32,NaN,NaN,relu,NaN,"[None, 25, 25, 96]",60000,0
average_pooling2d_1,AveragePooling2D,"[None, 25, 25, 96]",60000,float32,NaN,NaN,NaN,NaN,"[None, 25, 25, 192]",120000,0
conv2d_6,Conv2D,"[None, 25, 25, 192]",120000,float32,64,"[1, 1]",linear,False,"[None, 25, 25, 64]",40000,12288
conv2d_8,Conv2D,"[None, 25, 25, 64]",40000,float32,64,"[5, 5]",linear,False,"[None, 25, 25, 64]",40000,76800
conv2d_11,Conv2D,"[None, 25, 25, 64]",40000,float32,96,"[3, 3]",linear,False,"[None, 25, 25, 96]",60000,82944
conv2d_12,Conv2D,"[None, 25, 25, 96]",60000,float32,32,"[1, 1]",linear,False,"[None, 25, 25, 32]",20000,6144
batch_normalization_6,BatchNormalization,"[None, 25, 25, 32]",20000,float32,NaN,NaN,NaN,NaN,"[None, 25, 25, 64]",40000,192
batch_normalization_8,BatchNormalization,"[None, 25, 25, 64]",40000,float32,NaN,NaN,NaN,NaN,"[None, 25, 25, 64]",40000,192
batch_normalization_11,BatchNormalization,"[None, 25, 25, 64]",40000,float32,NaN,NaN,NaN,NaN,"[None, 25, 25, 96]",60000,288
batch_normalization_12,BatchNormalization,"[None, 25, 25, 96]",60000,float32,NaN,NaN,NaN,NaN,"[None, 25, 25, 32]",20000,96
activation_6,Activation,"[None, 25, 25, 32]",20000,float32,NaN,NaN,relu,NaN,"[None, 25, 25, 64]",40000,0
activation_8,Activation,"[None, 25, 25, 64]",40000,float32,NaN,NaN,relu,NaN,"[None, 25, 25, 64]",40000,0
activation_11,Activation,"[None, 25, 25, 64]",40000,float32,NaN,NaN,relu,NaN,"[None, 25, 25, 96]",60000,0
activation_12,Activation,"[None, 25, 25, 96]",60000,float32,NaN,NaN,relu,NaN,"[None, 25, 25, 32]",20000,0
mixed0,Concatenate,"[None, 25, 25, 32]",20000,float32,NaN,NaN,NaN,NaN,"[None, 25, 25, 256]",160000,0
conv2d_16,Conv2D,"[None, 25, 25, 256]",160000,float32,64,"[1, 1]",linear,False,"[None, 25, 25, 64]",40000,16384
batch_normalization_16,BatchNormalization,"[None, 25, 25, 64]",40000,float32,NaN,NaN,NaN,NaN,"[None, 25, 25, 64]",40000,192
activation_16,Activation,"[None, 25, 25, 64]",40000,float32,NaN,NaN,relu,NaN,"[None, 25, 25, 64]",40000,0
conv2d_14,Conv2D,"[None, 25, 25, 64]",40000,float32,48,"[1, 1]",linear,False,"[None, 25, 25, 48]",30000,12288
conv2d_17,Conv2D,"[None, 25, 25, 48]",30000,float32,96,"[3, 3]",linear,False,"[None, 25, 25, 96]",60000,55296
batch_normalization_14,BatchNormalization,"[None, 25, 25, 96]",60000,float32,NaN,NaN,NaN,NaN,"[None, 25, 25, 48]",30000,144
batch_normalization_17,BatchNormalization,"[None, 25, 25, 48]",30000,float32,NaN,NaN,NaN,NaN,"[None, 25, 25, 96]",60000,288
activation_14,Activation,"[None, 25, 25, 96]",60000,float32,NaN,NaN,relu,NaN,"[None, 25, 25, 48]",30000,0
activation_17,Activation,"[None, 25, 25, 48]",30000,float32,NaN,NaN,relu,NaN,"[None, 25, 25, 96]",60000,0
average_pooling2d_2,AveragePooling2D,"[None, 25, 25, 96]",60000,float32,NaN,NaN,NaN,NaN,"[None, 25, 25, 256]",160000,0
conv2d_13,Conv2D,"[None, 25, 25, 256]",160000,float32,64,"[1, 1]",linear,False,"[None, 25, 25, 64]",40000,16384
conv2d_15,Conv2D,"[None, 25, 25, 64]",40000,float32,64,"[5, 5]",linear,False,"[None, 25, 25, 64]",40000,76800
conv2d_18,Conv2D,"[None, 25, 25, 64]",40000,float32,96,"[3, 3]",linear,False,"[None, 25, 25, 96]",60000,82944
conv2d_19,Conv2D,"[None, 25, 25, 96]",60000,float32,64,"[1, 1]",linear,False,"[None, 25, 25, 64]",40000,16384
batch_normalization_13,BatchNormalization,"[None, 25, 25, 64]",40000,float32,NaN,NaN,NaN,NaN,"[None, 25, 25, 64]",40000,192
batch_normalization_15,BatchNormalization,"[None, 25, 25, 64]",40000,float32,NaN,NaN,NaN,NaN,"[None, 25, 25, 64]",40000,192
batch_normalization_18,BatchNormalization,"[None, 25, 25, 64]",40000,float32,NaN,NaN,NaN,NaN,"[None, 25, 25, 96]",60000,288
batch_normalization_19,BatchNormalization,"[None, 25, 25, 96]",60000,float32,NaN,NaN,NaN,NaN,"[None, 25, 25, 64]",40000,192
activation_13,Activation,"[None, 25, 25, 64]",40000,float32,NaN,NaN,relu,NaN,"[None, 25, 25, 64]",40000,0
activation_15,Activation,"[None, 25, 25, 64]",40000,float32,NaN,NaN,relu,NaN,"[None, 25, 25, 64]",40000,0
activation_18,Activation,"[None, 25, 25, 64]",40000,float32,NaN,NaN,relu,NaN,"[None, 25, 25, 96]",60000,0
activation_19,Activation,"[None, 25, 25, 96]",60000,float32,NaN,NaN,relu,NaN,"[None, 25, 25, 64]",40000,0
mixed1,Concatenate,"[None, 25, 25, 64]",40000,float32,NaN,NaN,NaN,NaN,"[None, 25, 25, 288]",180000,0
conv2d_23,Conv2D,"[None, 25, 25, 288]",180000,float32,64,"[1, 1]",linear,False,"[None, 25, 25, 64]",40000,18432
batch_normalization_23,BatchNormalization,"[None, 25, 25, 64]",40000,float32,NaN,NaN,NaN,NaN,"[None, 25, 25, 64]",40000,192
activation_23,Activation,"[None, 25, 25, 64]",40000,float32,NaN,NaN,relu,NaN,"[None, 25, 25, 64]",40000,0
conv2d_21,Conv2D,"[None, 25, 25, 64]",40000,float32,48,"[1, 1]",linear,False,"[None, 25, 25, 48]",30000,13824
conv2d_24,Conv2D,"[None, 25, 25, 48]",30000,float32,96,"[3, 3]",linear,False,"[None, 25, 25, 96]",60000,55296
batch_normalization_21,BatchNormalization,"[None, 25, 25, 96]",60000,float32,NaN,NaN,NaN,NaN,"[None, 25, 25, 48]",30000,144
batch_normalization_24,BatchNormalization,"[None, 25, 25, 48]",30000,float32,NaN,NaN,NaN,NaN,"[None, 25, 25, 96]",60000,288
activation_21,Activation,"[None, 25, 25, 96]",60000,float32,NaN,NaN,relu,NaN,"[None, 25, 25, 48]",30000,0
