layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 28, 28, 3]",2352,float32,NaN,NaN,NaN,NaN,"[None, 28, 28, 3]",2352,0
conv2d_1,Conv2D,"[None, 28, 28, 3]",1,float32,16,"[3, 3]",linear,True,"[None, 14, 14, 16]",3136,448
batch_normalization_1,BatchNormalization,"[None, 14, 14, 16]",3136,float32,NaN,NaN,NaN,NaN,"[None, 14, 14, 16]",3136,64
activation_1,Activation,"[None, 14, 14, 16]",3136,float32,NaN,NaN,_hard_swish,NaN,"[None, 14, 14, 16]",3136,0
conv2d_2,Conv2D,"[None, 14, 14, 16]",3136,float32,16,"[1, 1]",linear,True,"[None, 14, 14, 16]",3136,272
batch_normalization_2,BatchNormalization,"[None, 14, 14, 16]",3136,float32,NaN,NaN,NaN,NaN,"[None, 14, 14, 16]",3136,64
activation_2,Activation,"[None, 14, 14, 16]",3136,float32,NaN,NaN,_relu6,NaN,"[None, 14, 14, 16]",3136,0
depthwise_conv2d_1,DepthwiseConv2D,"[None, 14, 14, 16]",3136,float32,NaN,"[3, 3]",linear,True,"[None, 14, 14, 16]",3136,160
batch_normalization_3,BatchNormalization,"[None, 14, 14, 16]",3136,float32,NaN,NaN,NaN,NaN,"[None, 14, 14, 16]",3136,64
activation_3,Activation,"[None, 14, 14, 16]",3136,float32,NaN,NaN,_relu6,NaN,"[None, 14, 14, 16]",3136,0
conv2d_3,Conv2D,"[None, 14, 14, 16]",3136,float32,16,"[1, 1]",linear,True,"[None, 14, 14, 16]",3136,272
batch_normalization_4,BatchNormalization,"[None, 14, 14, 16]",3136,float32,NaN,NaN,NaN,NaN,"[None, 14, 14, 16]",3136,64
add_1,Add,"[None, 14, 14, 16]",3136,float32,NaN,NaN,NaN,NaN,"[None, 14, 14, 16]",3136,0
conv2d_4,Conv2D,"[None, 14, 14, 16]",3136,float32,64,"[1, 1]",linear,True,"[None, 14, 14, 64]",12544,1088
batch_normalization_5,BatchNormalization,"[None, 14, 14, 64]",12544,float32,NaN,NaN,NaN,NaN,"[None, 14, 14, 64]",12544,256
activation_4,Activation,"[None, 14, 14, 64]",12544,float32,NaN,NaN,_relu6,NaN,"[None, 14, 14, 64]",12544,0
depthwise_conv2d_2,DepthwiseConv2D,"[None, 14, 14, 64]",12544,float32,NaN,"[3, 3]",linear,True,"[None, 7, 7, 64]",3136,640
batch_normalization_6,BatchNormalization,"[None, 7, 7, 64]",3136,float32,NaN,NaN,NaN,NaN,"[None, 7, 7, 64]",3136,256
activation_5,Activation,"[None, 7, 7, 64]",3136,float32,NaN,NaN,_relu6,NaN,"[None, 7, 7, 64]",3136,0
conv2d_5,Conv2D,"[None, 7, 7, 64]",3136,float32,24,"[1, 1]",linear,True,"[None, 7, 7, 24]",1176,1560
batch_normalization_7,BatchNormalization,"[None, 7, 7, 24]",1176,float32,NaN,NaN,NaN,NaN,"[None, 7, 7, 24]",1176,96
conv2d_6,Conv2D,"[None, 7, 7, 24]",1176,float32,72,"[1, 1]",linear,True,"[None, 7, 7, 72]",3528,1800
batch_normalization_8,BatchNormalization,"[None, 7, 7, 72]",3528,float32,NaN,NaN,NaN,NaN,"[None, 7, 7, 72]",3528,288
activation_6,Activation,"[None, 7, 7, 72]",3528,float32,NaN,NaN,_relu6,NaN,"[None, 7, 7, 72]",3528,0
depthwise_conv2d_3,DepthwiseConv2D,"[None, 7, 7, 72]",3528,float32,NaN,"[3, 3]",linear,True,"[None, 7, 7, 72]",3528,720
batch_normalization_9,BatchNormalization,"[None, 7, 7, 72]",3528,float32,NaN,NaN,NaN,NaN,"[None, 7, 7, 72]",3528,288
activation_7,Activation,"[None, 7, 7, 72]",3528,float32,NaN,NaN,_relu6,NaN,"[None, 7, 7, 72]",3528,0
conv2d_7,Conv2D,"[None, 7, 7, 72]",3528,float32,24,"[1, 1]",linear,True,"[None, 7, 7, 24]",1176,1752
batch_normalization_10,BatchNormalization,"[None, 7, 7, 24]",1176,float32,NaN,NaN,NaN,NaN,"[None, 7, 7, 24]",1176,96
add_2,Add,"[None, 7, 7, 24]",1176,float32,NaN,NaN,NaN,NaN,"[None, 7, 7, 24]",1176,0
conv2d_8,Conv2D,"[None, 7, 7, 24]",1176,float32,72,"[1, 1]",linear,True,"[None, 7, 7, 72]",3528,1800
batch_normalization_11,BatchNormalization,"[None, 7, 7, 72]",3528,float32,NaN,NaN,NaN,NaN,"[None, 7, 7, 72]",3528,288
activation_8,Activation,"[None, 7, 7, 72]",3528,float32,NaN,NaN,_relu6,NaN,"[None, 7, 7, 72]",3528,0
depthwise_conv2d_4,DepthwiseConv2D,"[None, 7, 7, 72]",3528,float32,NaN,"[5, 5]",linear,True,"[None, 4, 4, 72]",1152,1872
batch_normalization_12,BatchNormalization,"[None, 4, 4, 72]",1152,float32,NaN,NaN,NaN,NaN,"[None, 4, 4, 72]",1152,288
activation_9,Activation,"[None, 4, 4, 72]",1152,float32,NaN,NaN,_relu6,NaN,"[None, 4, 4, 72]",1152,0
global_average_pooling2d_1,GlobalAveragePooling2D,"[None, 4, 4, 72]",1152,float32,NaN,NaN,NaN,NaN,"[None, 72]",72,0
dense_1,Dense,"[None, 72]",72,float32,NaN,NaN,relu,True,"[None, 72]",72,5256
dense_2,Dense,"[None, 72]",72,float32,NaN,NaN,hard_sigmoid,True,"[None, 72]",72,5256
reshape_1,Reshape,"[None, 72]",72,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 72]",72,0
multiply_1,Multiply,"[None, 1, 1, 72]",72,float32,NaN,NaN,NaN,NaN,"[None, 4, 4, 72]",1152,0
conv2d_9,Conv2D,"[None, 4, 4, 72]",1152,float32,40,"[1, 1]",linear,True,"[None, 4, 4, 40]",640,2920
batch_normalization_13,BatchNormalization,"[None, 4, 4, 40]",640,float32,NaN,NaN,NaN,NaN,"[None, 4, 4, 40]",640,160
conv2d_10,Conv2D,"[None, 4, 4, 40]",640,float32,120,"[1, 1]",linear,True,"[None, 4, 4, 120]",1920,4920
batch_normalization_14,BatchNormalization,"[None, 4, 4, 120]",1920,float32,NaN,NaN,NaN,NaN,"[None, 4, 4, 120]",1920,480
activation_10,Activation,"[None, 4, 4, 120]",1920,float32,NaN,NaN,_relu6,NaN,"[None, 4, 4, 120]",1920,0
depthwise_conv2d_5,DepthwiseConv2D,"[None, 4, 4, 120]",1920,float32,NaN,"[5, 5]",linear,True,"[None, 4, 4, 120]",1920,3120
batch_normalization_15,BatchNormalization,"[None, 4, 4, 120]",1920,float32,NaN,NaN,NaN,NaN,"[None, 4, 4, 120]",1920,480
activation_11,Activation,"[None, 4, 4, 120]",1920,float32,NaN,NaN,_relu6,NaN,"[None, 4, 4, 120]",1920,0
global_average_pooling2d_2,GlobalAveragePooling2D,"[None, 4, 4, 120]",1920,float32,NaN,NaN,NaN,NaN,"[None, 120]",120,0
dense_3,Dense,"[None, 120]",120,float32,NaN,NaN,relu,True,"[None, 120]",120,14520
dense_4,Dense,"[None, 120]",120,float32,NaN,NaN,hard_sigmoid,True,"[None, 120]",120,14520
reshape_2,Reshape,"[None, 120]",120,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 120]",120,0
multiply_2,Multiply,"[None, 1, 1, 120]",120,float32,NaN,NaN,NaN,NaN,"[None, 4, 4, 120]",1920,0
conv2d_11,Conv2D,"[None, 4, 4, 120]",1920,float32,40,"[1, 1]",linear,True,"[None, 4, 4, 40]",640,4840
batch_normalization_16,BatchNormalization,"[None, 4, 4, 40]",640,float32,NaN,NaN,NaN,NaN,"[None, 4, 4, 40]",640,160
add_3,Add,"[None, 4, 4, 40]",640,float32,NaN,NaN,NaN,NaN,"[None, 4, 4, 40]",640,0
conv2d_12,Conv2D,"[None, 4, 4, 40]",640,float32,120,"[1, 1]",linear,True,"[None, 4, 4, 120]",1920,4920
batch_normalization_17,BatchNormalization,"[None, 4, 4, 120]",1920,float32,NaN,NaN,NaN,NaN,"[None, 4, 4, 120]",1920,480
activation_12,Activation,"[None, 4, 4, 120]",1920,float32,NaN,NaN,_relu6,NaN,"[None, 4, 4, 120]",1920,0
