layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 512, 512, 3]",786432,float32,NaN,NaN,NaN,NaN,"[None, 512, 512, 3]",786432,0
conv2d_1,Conv2D,"[None, 512, 512, 3]",1,float32,16,"[3, 3]",linear,True,"[None, 256, 256, 16]",1048576,448
batch_normalization_1,BatchNormalization,"[None, 256, 256, 16]",1048576,float32,NaN,NaN,NaN,NaN,"[None, 256, 256, 16]",1048576,64
activation_1,Activation,"[None, 256, 256, 16]",1048576,float32,NaN,NaN,_hard_swish,NaN,"[None, 256, 256, 16]",1048576,0
conv2d_2,Conv2D,"[None, 256, 256, 16]",1048576,float32,16,"[1, 1]",linear,True,"[None, 256, 256, 16]",1048576,272
batch_normalization_2,BatchNormalization,"[None, 256, 256, 16]",1048576,float32,NaN,NaN,NaN,NaN,"[None, 256, 256, 16]",1048576,64
activation_2,Activation,"[None, 256, 256, 16]",1048576,float32,NaN,NaN,_relu6,NaN,"[None, 256, 256, 16]",1048576,0
depthwise_conv2d_1,DepthwiseConv2D,"[None, 256, 256, 16]",1048576,float32,NaN,"[3, 3]",linear,True,"[None, 128, 128, 16]",262144,160
batch_normalization_3,BatchNormalization,"[None, 128, 128, 16]",262144,float32,NaN,NaN,NaN,NaN,"[None, 128, 128, 16]",262144,64
activation_3,Activation,"[None, 128, 128, 16]",262144,float32,NaN,NaN,_relu6,NaN,"[None, 128, 128, 16]",262144,0
global_average_pooling2d_1,GlobalAveragePooling2D,"[None, 128, 128, 16]",262144,float32,NaN,NaN,NaN,NaN,"[None, 16]",16,0
dense_1,Dense,"[None, 16]",16,float32,NaN,NaN,relu,True,"[None, 16]",16,272
dense_2,Dense,"[None, 16]",16,float32,NaN,NaN,hard_sigmoid,True,"[None, 16]",16,272
reshape_1,Reshape,"[None, 16]",16,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 16]",16,0
multiply_1,Multiply,"[None, 1, 1, 16]",16,float32,NaN,NaN,NaN,NaN,"[None, 128, 128, 16]",262144,0
conv2d_3,Conv2D,"[None, 128, 128, 16]",262144,float32,16,"[1, 1]",linear,True,"[None, 128, 128, 16]",262144,272
batch_normalization_4,BatchNormalization,"[None, 128, 128, 16]",262144,float32,NaN,NaN,NaN,NaN,"[None, 128, 128, 16]",262144,64
conv2d_4,Conv2D,"[None, 128, 128, 16]",262144,float32,72,"[1, 1]",linear,True,"[None, 128, 128, 72]",1179648,1224
batch_normalization_5,BatchNormalization,"[None, 128, 128, 72]",1179648,float32,NaN,NaN,NaN,NaN,"[None, 128, 128, 72]",1179648,288
activation_4,Activation,"[None, 128, 128, 72]",1179648,float32,NaN,NaN,_relu6,NaN,"[None, 128, 128, 72]",1179648,0
depthwise_conv2d_2,DepthwiseConv2D,"[None, 128, 128, 72]",1179648,float32,NaN,"[3, 3]",linear,True,"[None, 64, 64, 72]",294912,720
batch_normalization_6,BatchNormalization,"[None, 64, 64, 72]",294912,float32,NaN,NaN,NaN,NaN,"[None, 64, 64, 72]",294912,288
activation_5,Activation,"[None, 64, 64, 72]",294912,float32,NaN,NaN,_relu6,NaN,"[None, 64, 64, 72]",294912,0
conv2d_5,Conv2D,"[None, 64, 64, 72]",294912,float32,24,"[1, 1]",linear,True,"[None, 64, 64, 24]",98304,1752
batch_normalization_7,BatchNormalization,"[None, 64, 64, 24]",98304,float32,NaN,NaN,NaN,NaN,"[None, 64, 64, 24]",98304,96
conv2d_6,Conv2D,"[None, 64, 64, 24]",98304,float32,88,"[1, 1]",linear,True,"[None, 64, 64, 88]",360448,2200
batch_normalization_8,BatchNormalization,"[None, 64, 64, 88]",360448,float32,NaN,NaN,NaN,NaN,"[None, 64, 64, 88]",360448,352
activation_6,Activation,"[None, 64, 64, 88]",360448,float32,NaN,NaN,_relu6,NaN,"[None, 64, 64, 88]",360448,0
depthwise_conv2d_3,DepthwiseConv2D,"[None, 64, 64, 88]",360448,float32,NaN,"[3, 3]",linear,True,"[None, 64, 64, 88]",360448,880
batch_normalization_9,BatchNormalization,"[None, 64, 64, 88]",360448,float32,NaN,NaN,NaN,NaN,"[None, 64, 64, 88]",360448,352
activation_7,Activation,"[None, 64, 64, 88]",360448,float32,NaN,NaN,_relu6,NaN,"[None, 64, 64, 88]",360448,0
conv2d_7,Conv2D,"[None, 64, 64, 88]",360448,float32,24,"[1, 1]",linear,True,"[None, 64, 64, 24]",98304,2136
batch_normalization_10,BatchNormalization,"[None, 64, 64, 24]",98304,float32,NaN,NaN,NaN,NaN,"[None, 64, 64, 24]",98304,96
add_1,Add,"[None, 64, 64, 24]",98304,float32,NaN,NaN,NaN,NaN,"[None, 64, 64, 24]",98304,0
conv2d_8,Conv2D,"[None, 64, 64, 24]",98304,float32,96,"[1, 1]",linear,True,"[None, 64, 64, 96]",393216,2400
batch_normalization_11,BatchNormalization,"[None, 64, 64, 96]",393216,float32,NaN,NaN,NaN,NaN,"[None, 64, 64, 96]",393216,384
activation_8,Activation,"[None, 64, 64, 96]",393216,float32,NaN,NaN,_hard_swish,NaN,"[None, 64, 64, 96]",393216,0
depthwise_conv2d_4,DepthwiseConv2D,"[None, 64, 64, 96]",393216,float32,NaN,"[5, 5]",linear,True,"[None, 32, 32, 96]",98304,2496
batch_normalization_12,BatchNormalization,"[None, 32, 32, 96]",98304,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 96]",98304,384
activation_9,Activation,"[None, 32, 32, 96]",98304,float32,NaN,NaN,_hard_swish,NaN,"[None, 32, 32, 96]",98304,0
global_average_pooling2d_2,GlobalAveragePooling2D,"[None, 32, 32, 96]",98304,float32,NaN,NaN,NaN,NaN,"[None, 96]",96,0
dense_3,Dense,"[None, 96]",96,float32,NaN,NaN,relu,True,"[None, 96]",96,9312
dense_4,Dense,"[None, 96]",96,float32,NaN,NaN,hard_sigmoid,True,"[None, 96]",96,9312
reshape_2,Reshape,"[None, 96]",96,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 96]",96,0
multiply_2,Multiply,"[None, 1, 1, 96]",96,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 96]",98304,0
conv2d_9,Conv2D,"[None, 32, 32, 96]",98304,float32,40,"[1, 1]",linear,True,"[None, 32, 32, 40]",40960,3880
batch_normalization_13,BatchNormalization,"[None, 32, 32, 40]",40960,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 40]",40960,160
conv2d_10,Conv2D,"[None, 32, 32, 40]",40960,float32,240,"[1, 1]",linear,True,"[None, 32, 32, 240]",245760,9840
batch_normalization_14,BatchNormalization,"[None, 32, 32, 240]",245760,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 240]",245760,960
activation_10,Activation,"[None, 32, 32, 240]",245760,float32,NaN,NaN,_hard_swish,NaN,"[None, 32, 32, 240]",245760,0
depthwise_conv2d_5,DepthwiseConv2D,"[None, 32, 32, 240]",245760,float32,NaN,"[5, 5]",linear,True,"[None, 32, 32, 240]",245760,6240
batch_normalization_15,BatchNormalization,"[None, 32, 32, 240]",245760,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 240]",245760,960
activation_11,Activation,"[None, 32, 32, 240]",245760,float32,NaN,NaN,_hard_swish,NaN,"[None, 32, 32, 240]",245760,0
global_average_pooling2d_3,GlobalAveragePooling2D,"[None, 32, 32, 240]",245760,float32,NaN,NaN,NaN,NaN,"[None, 240]",240,0
