layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 256, 256, 3]",196608,float32,NaN,NaN,NaN,NaN,"[None, 256, 256, 3]",196608,0
Conv1_pad,ZeroPadding2D,"[None, 256, 256, 3]",1,float32,NaN,NaN,NaN,NaN,"[None, 257, 257, 3]",198147,0
Conv1,Conv2D,"[None, 257, 257, 3]",198147,float32,40,"[3, 3]",linear,False,"[None, 128, 128, 40]",655360,1080
bn_Conv1,BatchNormalization,"[None, 128, 128, 40]",655360,float32,NaN,NaN,NaN,NaN,"[None, 128, 128, 40]",655360,160
Conv1_relu,ReLU,"[None, 128, 128, 40]",655360,float32,NaN,NaN,NaN,NaN,"[None, 128, 128, 40]",655360,0
expanded_conv_depthwise,DepthwiseConv2D,"[None, 128, 128, 40]",655360,float32,NaN,"[3, 3]",linear,False,"[None, 128, 128, 40]",655360,360
expanded_conv_depthwise_BN,BatchNormalization,"[None, 128, 128, 40]",655360,float32,NaN,NaN,NaN,NaN,"[None, 128, 128, 40]",655360,160
expanded_conv_depthwise_relu,ReLU,"[None, 128, 128, 40]",655360,float32,NaN,NaN,NaN,NaN,"[None, 128, 128, 40]",655360,0
expanded_conv_project,Conv2D,"[None, 128, 128, 40]",655360,float32,24,"[1, 1]",linear,False,"[None, 128, 128, 24]",393216,960
expanded_conv_project_BN,BatchNormalization,"[None, 128, 128, 24]",393216,float32,NaN,NaN,NaN,NaN,"[None, 128, 128, 24]",393216,96
block_1_expand,Conv2D,"[None, 128, 128, 24]",393216,float32,144,"[1, 1]",linear,False,"[None, 128, 128, 144]",2359296,3456
block_1_expand_BN,BatchNormalization,"[None, 128, 128, 144]",2359296,float32,NaN,NaN,NaN,NaN,"[None, 128, 128, 144]",2359296,576
block_1_expand_relu,ReLU,"[None, 128, 128, 144]",2359296,float32,NaN,NaN,NaN,NaN,"[None, 128, 128, 144]",2359296,0
block_1_pad,ZeroPadding2D,"[None, 128, 128, 144]",2359296,float32,NaN,NaN,NaN,NaN,"[None, 129, 129, 144]",2396304,0
block_1_depthwise,DepthwiseConv2D,"[None, 129, 129, 144]",2396304,float32,NaN,"[3, 3]",linear,False,"[None, 64, 64, 144]",589824,1296
block_1_depthwise_BN,BatchNormalization,"[None, 64, 64, 144]",589824,float32,NaN,NaN,NaN,NaN,"[None, 64, 64, 144]",589824,576
block_1_depthwise_relu,ReLU,"[None, 64, 64, 144]",589824,float32,NaN,NaN,NaN,NaN,"[None, 64, 64, 144]",589824,0
block_1_project,Conv2D,"[None, 64, 64, 144]",589824,float32,32,"[1, 1]",linear,False,"[None, 64, 64, 32]",131072,4608
block_1_project_BN,BatchNormalization,"[None, 64, 64, 32]",131072,float32,NaN,NaN,NaN,NaN,"[None, 64, 64, 32]",131072,128
block_2_expand,Conv2D,"[None, 64, 64, 32]",131072,float32,192,"[1, 1]",linear,False,"[None, 64, 64, 192]",786432,6144
block_2_expand_BN,BatchNormalization,"[None, 64, 64, 192]",786432,float32,NaN,NaN,NaN,NaN,"[None, 64, 64, 192]",786432,768
block_2_expand_relu,ReLU,"[None, 64, 64, 192]",786432,float32,NaN,NaN,NaN,NaN,"[None, 64, 64, 192]",786432,0
block_2_depthwise,DepthwiseConv2D,"[None, 64, 64, 192]",786432,float32,NaN,"[3, 3]",linear,False,"[None, 64, 64, 192]",786432,1728
block_2_depthwise_BN,BatchNormalization,"[None, 64, 64, 192]",786432,float32,NaN,NaN,NaN,NaN,"[None, 64, 64, 192]",786432,768
block_2_depthwise_relu,ReLU,"[None, 64, 64, 192]",786432,float32,NaN,NaN,NaN,NaN,"[None, 64, 64, 192]",786432,0
block_2_project,Conv2D,"[None, 64, 64, 192]",786432,float32,32,"[1, 1]",linear,False,"[None, 64, 64, 32]",131072,6144
block_2_project_BN,BatchNormalization,"[None, 64, 64, 32]",131072,float32,NaN,NaN,NaN,NaN,"[None, 64, 64, 32]",131072,128
block_2_add,Add,"[None, 64, 64, 32]",131072,float32,NaN,NaN,NaN,NaN,"[None, 64, 64, 32]",131072,0
block_3_expand,Conv2D,"[None, 64, 64, 32]",131072,float32,192,"[1, 1]",linear,False,"[None, 64, 64, 192]",786432,6144
block_3_expand_BN,BatchNormalization,"[None, 64, 64, 192]",786432,float32,NaN,NaN,NaN,NaN,"[None, 64, 64, 192]",786432,768
block_3_expand_relu,ReLU,"[None, 64, 64, 192]",786432,float32,NaN,NaN,NaN,NaN,"[None, 64, 64, 192]",786432,0
block_3_pad,ZeroPadding2D,"[None, 64, 64, 192]",786432,float32,NaN,NaN,NaN,NaN,"[None, 65, 65, 192]",811200,0
block_3_depthwise,DepthwiseConv2D,"[None, 65, 65, 192]",811200,float32,NaN,"[3, 3]",linear,False,"[None, 32, 32, 192]",196608,1728
block_3_depthwise_BN,BatchNormalization,"[None, 32, 32, 192]",196608,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 192]",196608,768
block_3_depthwise_relu,ReLU,"[None, 32, 32, 192]",196608,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 192]",196608,0
block_3_project,Conv2D,"[None, 32, 32, 192]",196608,float32,40,"[1, 1]",linear,False,"[None, 32, 32, 40]",40960,7680
block_3_project_BN,BatchNormalization,"[None, 32, 32, 40]",40960,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 40]",40960,160
block_4_expand,Conv2D,"[None, 32, 32, 40]",40960,float32,240,"[1, 1]",linear,False,"[None, 32, 32, 240]",245760,9600
block_4_expand_BN,BatchNormalization,"[None, 32, 32, 240]",245760,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 240]",245760,960
block_4_expand_relu,ReLU,"[None, 32, 32, 240]",245760,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 240]",245760,0
block_4_depthwise,DepthwiseConv2D,"[None, 32, 32, 240]",245760,float32,NaN,"[3, 3]",linear,False,"[None, 32, 32, 240]",245760,2160
block_4_depthwise_BN,BatchNormalization,"[None, 32, 32, 240]",245760,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 240]",245760,960
block_4_depthwise_relu,ReLU,"[None, 32, 32, 240]",245760,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 240]",245760,0
block_4_project,Conv2D,"[None, 32, 32, 240]",245760,float32,40,"[1, 1]",linear,False,"[None, 32, 32, 40]",40960,9600
block_4_project_BN,BatchNormalization,"[None, 32, 32, 40]",40960,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 40]",40960,160
block_4_add,Add,"[None, 32, 32, 40]",40960,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 40]",40960,0
block_5_expand,Conv2D,"[None, 32, 32, 40]",40960,float32,240,"[1, 1]",linear,False,"[None, 32, 32, 240]",245760,9600
block_5_expand_BN,BatchNormalization,"[None, 32, 32, 240]",245760,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 240]",245760,960
block_5_expand_relu,ReLU,"[None, 32, 32, 240]",245760,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 240]",245760,0
block_5_depthwise,DepthwiseConv2D,"[None, 32, 32, 240]",245760,float32,NaN,"[3, 3]",linear,False,"[None, 32, 32, 240]",245760,2160
block_5_depthwise_BN,BatchNormalization,"[None, 32, 32, 240]",245760,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 240]",245760,960
block_5_depthwise_relu,ReLU,"[None, 32, 32, 240]",245760,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 240]",245760,0
block_5_project,Conv2D,"[None, 32, 32, 240]",245760,float32,40,"[1, 1]",linear,False,"[None, 32, 32, 40]",40960,9600
block_5_project_BN,BatchNormalization,"[None, 32, 32, 40]",40960,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 40]",40960,160
block_5_add,Add,"[None, 32, 32, 40]",40960,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 40]",40960,0
block_6_expand,Conv2D,"[None, 32, 32, 40]",40960,float32,240,"[1, 1]",linear,False,"[None, 32, 32, 240]",245760,9600
block_6_expand_BN,BatchNormalization,"[None, 32, 32, 240]",245760,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 240]",245760,960
block_6_expand_relu,ReLU,"[None, 32, 32, 240]",245760,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 240]",245760,0
block_6_pad,ZeroPadding2D,"[None, 32, 32, 240]",245760,float32,NaN,NaN,NaN,NaN,"[None, 33, 33, 240]",261360,0
block_6_depthwise,DepthwiseConv2D,"[None, 33, 33, 240]",261360,float32,NaN,"[3, 3]",linear,False,"[None, 16, 16, 240]",61440,2160
block_6_depthwise_BN,BatchNormalization,"[None, 16, 16, 240]",61440,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 240]",61440,960
block_6_depthwise_relu,ReLU,"[None, 16, 16, 240]",61440,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 240]",61440,0
block_6_project,Conv2D,"[None, 16, 16, 240]",61440,float32,80,"[1, 1]",linear,False,"[None, 16, 16, 80]",20480,19200
block_6_project_BN,BatchNormalization,"[None, 16, 16, 80]",20480,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 80]",20480,320
block_7_expand,Conv2D,"[None, 16, 16, 80]",20480,float32,480,"[1, 1]",linear,False,"[None, 16, 16, 480]",122880,38400
block_7_expand_BN,BatchNormalization,"[None, 16, 16, 480]",122880,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 480]",122880,1920
block_7_expand_relu,ReLU,"[None, 16, 16, 480]",122880,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 480]",122880,0
block_7_depthwise,DepthwiseConv2D,"[None, 16, 16, 480]",122880,float32,NaN,"[3, 3]",linear,False,"[None, 16, 16, 480]",122880,4320
block_7_depthwise_BN,BatchNormalization,"[None, 16, 16, 480]",122880,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 480]",122880,1920
block_7_depthwise_relu,ReLU,"[None, 16, 16, 480]",122880,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 480]",122880,0
block_7_project,Conv2D,"[None, 16, 16, 480]",122880,float32,80,"[1, 1]",linear,False,"[None, 16, 16, 80]",20480,38400
block_7_project_BN,BatchNormalization,"[None, 16, 16, 80]",20480,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 80]",20480,320
block_7_add,Add,"[None, 16, 16, 80]",20480,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 80]",20480,0
