layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 256, 256, 3]",196608,float32,NaN,NaN,NaN,NaN,"[None, 256, 256, 3]",196608,0
stem_conv1,Conv2D,"[None, 256, 256, 3]",1,float32,32,"[3, 3]",linear,False,"[None, 127, 127, 32]",516128,864
stem_bn1,BatchNormalization,"[None, 127, 127, 32]",516128,float32,NaN,NaN,NaN,NaN,"[None, 127, 127, 32]",516128,128
activation_1,Activation,"[None, 127, 127, 32]",516128,float32,NaN,NaN,relu,NaN,"[None, 127, 127, 32]",516128,0
reduction_conv_1_stem_1,Conv2D,"[None, 127, 127, 32]",516128,float32,11,"[1, 1]",linear,False,"[None, 127, 127, 11]",177419,352
reduction_bn_1_stem_1,BatchNormalization,"[None, 127, 127, 11]",177419,float32,NaN,NaN,NaN,NaN,"[None, 127, 127, 11]",177419,44
activation_2,Activation,"[None, 127, 127, 11]",177419,float32,NaN,NaN,relu,NaN,"[None, 127, 127, 11]",177419,0
activation_4,Activation,"[None, 127, 127, 11]",177419,float32,NaN,NaN,relu,NaN,"[None, 127, 127, 32]",516128,0
separable_conv_1_pad_reduction_left1_stem_1,ZeroPadding2D,"[None, 127, 127, 32]",516128,float32,NaN,NaN,NaN,NaN,"[None, 131, 131, 11]",188771,0
separable_conv_1_pad_reduction_right1_stem_1,ZeroPadding2D,"[None, 131, 131, 11]",188771,float32,NaN,NaN,NaN,NaN,"[None, 133, 133, 32]",566048,0
separable_conv_1_reduction_left1_stem_1,SeparableConv2D,"[None, 133, 133, 32]",566048,float32,11,"[5, 5]",linear,False,"[None, 64, 64, 11]",45056,396
separable_conv_1_reduction_right1_stem_1,SeparableConv2D,"[None, 64, 64, 11]",45056,float32,11,"[7, 7]",linear,False,"[None, 64, 64, 11]",45056,1920
separable_conv_1_bn_reduction_left1_stem_1,BatchNormalization,"[None, 64, 64, 11]",45056,float32,NaN,NaN,NaN,NaN,"[None, 64, 64, 11]",45056,44
separable_conv_1_bn_reduction_right1_stem_1,BatchNormalization,"[None, 64, 64, 11]",45056,float32,NaN,NaN,NaN,NaN,"[None, 64, 64, 11]",45056,44
activation_3,Activation,"[None, 64, 64, 11]",45056,float32,NaN,NaN,relu,NaN,"[None, 64, 64, 11]",45056,0
activation_5,Activation,"[None, 64, 64, 11]",45056,float32,NaN,NaN,relu,NaN,"[None, 64, 64, 11]",45056,0
separable_conv_2_reduction_left1_stem_1,SeparableConv2D,"[None, 64, 64, 11]",45056,float32,11,"[5, 5]",linear,False,"[None, 64, 64, 11]",45056,396
separable_conv_2_reduction_right1_stem_1,SeparableConv2D,"[None, 64, 64, 11]",45056,float32,11,"[7, 7]",linear,False,"[None, 64, 64, 11]",45056,660
activation_6,Activation,"[None, 64, 64, 11]",45056,float32,NaN,NaN,relu,NaN,"[None, 127, 127, 32]",516128,0
separable_conv_2_bn_reduction_left1_stem_1,BatchNormalization,"[None, 127, 127, 32]",516128,float32,NaN,NaN,NaN,NaN,"[None, 64, 64, 11]",45056,44
separable_conv_2_bn_reduction_right1_stem_1,BatchNormalization,"[None, 64, 64, 11]",45056,float32,NaN,NaN,NaN,NaN,"[None, 64, 64, 11]",45056,44
separable_conv_1_pad_reduction_right2_stem_1,ZeroPadding2D,"[None, 64, 64, 11]",45056,float32,NaN,NaN,NaN,NaN,"[None, 133, 133, 32]",566048,0
