layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 1200, 1200, 3]",4320000,float32,NaN,NaN,NaN,NaN,"[None, 1200, 1200, 3]",4320000,0
bn_data,BatchNormalization,"[None, 1200, 1200, 3]",1,float32,NaN,NaN,NaN,NaN,"[None, 1200, 1200, 3]",4320000,9
zero_padding2d_1,ZeroPadding2D,"[None, 1200, 1200, 3]",4320000,float32,NaN,NaN,NaN,NaN,"[None, 1206, 1206, 3]",4363308,0
conv0,Conv2D,"[None, 1206, 1206, 3]",4363308,float32,64,"[7, 7]",linear,False,"[None, 600, 600, 64]",23040000,9408
bn0,BatchNormalization,"[None, 600, 600, 64]",23040000,float32,NaN,NaN,NaN,NaN,"[None, 600, 600, 64]",23040000,256
relu0,Activation,"[None, 600, 600, 64]",23040000,float32,NaN,NaN,relu,NaN,"[None, 600, 600, 64]",23040000,0
zero_padding2d_2,ZeroPadding2D,"[None, 600, 600, 64]",23040000,float32,NaN,NaN,NaN,NaN,"[None, 602, 602, 64]",23193856,0
pooling0,MaxPooling2D,"[None, 602, 602, 64]",23193856,float32,NaN,NaN,NaN,NaN,"[None, 300, 300, 64]",5760000,0
stage1_unit1_bn1,BatchNormalization,"[None, 300, 300, 64]",5760000,float32,NaN,NaN,NaN,NaN,"[None, 300, 300, 64]",5760000,256
stage1_unit1_relu1,Activation,"[None, 300, 300, 64]",5760000,float32,NaN,NaN,relu,NaN,"[None, 300, 300, 64]",5760000,0
zero_padding2d_3,ZeroPadding2D,"[None, 300, 300, 64]",5760000,float32,NaN,NaN,NaN,NaN,"[None, 302, 302, 64]",5837056,0
stage1_unit1_conv1,Conv2D,"[None, 302, 302, 64]",5837056,float32,64,"[3, 3]",linear,False,"[None, 300, 300, 64]",5760000,36864
stage1_unit1_bn2,BatchNormalization,"[None, 300, 300, 64]",5760000,float32,NaN,NaN,NaN,NaN,"[None, 300, 300, 64]",5760000,256
stage1_unit1_relu2,Activation,"[None, 300, 300, 64]",5760000,float32,NaN,NaN,relu,NaN,"[None, 300, 300, 64]",5760000,0
zero_padding2d_4,ZeroPadding2D,"[None, 300, 300, 64]",5760000,float32,NaN,NaN,NaN,NaN,"[None, 302, 302, 64]",5837056,0
stage1_unit1_conv2,Conv2D,"[None, 302, 302, 64]",5837056,float32,64,"[3, 3]",linear,False,"[None, 300, 300, 64]",5760000,36864
stage1_unit1_sc,Conv2D,"[None, 300, 300, 64]",5760000,float32,64,"[1, 1]",linear,False,"[None, 300, 300, 64]",5760000,4096
add_1,Add,"[None, 300, 300, 64]",5760000,float32,NaN,NaN,NaN,NaN,"[None, 300, 300, 64]",5760000,0
stage1_unit2_bn1,BatchNormalization,"[None, 300, 300, 64]",5760000,float32,NaN,NaN,NaN,NaN,"[None, 300, 300, 64]",5760000,256
stage1_unit2_relu1,Activation,"[None, 300, 300, 64]",5760000,float32,NaN,NaN,relu,NaN,"[None, 300, 300, 64]",5760000,0
zero_padding2d_5,ZeroPadding2D,"[None, 300, 300, 64]",5760000,float32,NaN,NaN,NaN,NaN,"[None, 302, 302, 64]",5837056,0
stage1_unit2_conv1,Conv2D,"[None, 302, 302, 64]",5837056,float32,64,"[3, 3]",linear,False,"[None, 300, 300, 64]",5760000,36864
stage1_unit2_bn2,BatchNormalization,"[None, 300, 300, 64]",5760000,float32,NaN,NaN,NaN,NaN,"[None, 300, 300, 64]",5760000,256
stage1_unit2_relu2,Activation,"[None, 300, 300, 64]",5760000,float32,NaN,NaN,relu,NaN,"[None, 300, 300, 64]",5760000,0
zero_padding2d_6,ZeroPadding2D,"[None, 300, 300, 64]",5760000,float32,NaN,NaN,NaN,NaN,"[None, 302, 302, 64]",5837056,0
stage1_unit2_conv2,Conv2D,"[None, 302, 302, 64]",5837056,float32,64,"[3, 3]",linear,False,"[None, 300, 300, 64]",5760000,36864
add_2,Add,"[None, 300, 300, 64]",5760000,float32,NaN,NaN,NaN,NaN,"[None, 300, 300, 64]",5760000,0
stage2_unit1_bn1,BatchNormalization,"[None, 300, 300, 64]",5760000,float32,NaN,NaN,NaN,NaN,"[None, 300, 300, 64]",5760000,256
stage2_unit1_relu1,Activation,"[None, 300, 300, 64]",5760000,float32,NaN,NaN,relu,NaN,"[None, 300, 300, 64]",5760000,0
zero_padding2d_7,ZeroPadding2D,"[None, 300, 300, 64]",5760000,float32,NaN,NaN,NaN,NaN,"[None, 302, 302, 64]",5837056,0
stage2_unit1_conv1,Conv2D,"[None, 302, 302, 64]",5837056,float32,128,"[3, 3]",linear,False,"[None, 150, 150, 128]",2880000,73728
stage2_unit1_bn2,BatchNormalization,"[None, 150, 150, 128]",2880000,float32,NaN,NaN,NaN,NaN,"[None, 150, 150, 128]",2880000,512
stage2_unit1_relu2,Activation,"[None, 150, 150, 128]",2880000,float32,NaN,NaN,relu,NaN,"[None, 150, 150, 128]",2880000,0
zero_padding2d_8,ZeroPadding2D,"[None, 150, 150, 128]",2880000,float32,NaN,NaN,NaN,NaN,"[None, 152, 152, 128]",2957312,0
stage2_unit1_conv2,Conv2D,"[None, 152, 152, 128]",2957312,float32,128,"[3, 3]",linear,False,"[None, 150, 150, 128]",2880000,147456
stage2_unit1_sc,Conv2D,"[None, 150, 150, 128]",2880000,float32,128,"[1, 1]",linear,False,"[None, 150, 150, 128]",2880000,8192
add_3,Add,"[None, 150, 150, 128]",2880000,float32,NaN,NaN,NaN,NaN,"[None, 150, 150, 128]",2880000,0
stage2_unit2_bn1,BatchNormalization,"[None, 150, 150, 128]",2880000,float32,NaN,NaN,NaN,NaN,"[None, 150, 150, 128]",2880000,512
stage2_unit2_relu1,Activation,"[None, 150, 150, 128]",2880000,float32,NaN,NaN,relu,NaN,"[None, 150, 150, 128]",2880000,0
zero_padding2d_9,ZeroPadding2D,"[None, 150, 150, 128]",2880000,float32,NaN,NaN,NaN,NaN,"[None, 152, 152, 128]",2957312,0
stage2_unit2_conv1,Conv2D,"[None, 152, 152, 128]",2957312,float32,128,"[3, 3]",linear,False,"[None, 150, 150, 128]",2880000,147456
stage2_unit2_bn2,BatchNormalization,"[None, 150, 150, 128]",2880000,float32,NaN,NaN,NaN,NaN,"[None, 150, 150, 128]",2880000,512
stage2_unit2_relu2,Activation,"[None, 150, 150, 128]",2880000,float32,NaN,NaN,relu,NaN,"[None, 150, 150, 128]",2880000,0
zero_padding2d_10,ZeroPadding2D,"[None, 150, 150, 128]",2880000,float32,NaN,NaN,NaN,NaN,"[None, 152, 152, 128]",2957312,0
stage2_unit2_conv2,Conv2D,"[None, 152, 152, 128]",2957312,float32,128,"[3, 3]",linear,False,"[None, 150, 150, 128]",2880000,147456
add_4,Add,"[None, 150, 150, 128]",2880000,float32,NaN,NaN,NaN,NaN,"[None, 150, 150, 128]",2880000,0
stage3_unit1_bn1,BatchNormalization,"[None, 150, 150, 128]",2880000,float32,NaN,NaN,NaN,NaN,"[None, 150, 150, 128]",2880000,512
stage3_unit1_relu1,Activation,"[None, 150, 150, 128]",2880000,float32,NaN,NaN,relu,NaN,"[None, 150, 150, 128]",2880000,0
zero_padding2d_11,ZeroPadding2D,"[None, 150, 150, 128]",2880000,float32,NaN,NaN,NaN,NaN,"[None, 152, 152, 128]",2957312,0
stage3_unit1_conv1,Conv2D,"[None, 152, 152, 128]",2957312,float32,256,"[3, 3]",linear,False,"[None, 75, 75, 256]",1440000,294912
stage3_unit1_bn2,BatchNormalization,"[None, 75, 75, 256]",1440000,float32,NaN,NaN,NaN,NaN,"[None, 75, 75, 256]",1440000,1024
stage3_unit1_relu2,Activation,"[None, 75, 75, 256]",1440000,float32,NaN,NaN,relu,NaN,"[None, 75, 75, 256]",1440000,0
zero_padding2d_12,ZeroPadding2D,"[None, 75, 75, 256]",1440000,float32,NaN,NaN,NaN,NaN,"[None, 77, 77, 256]",1517824,0
stage3_unit1_conv2,Conv2D,"[None, 77, 77, 256]",1517824,float32,256,"[3, 3]",linear,False,"[None, 75, 75, 256]",1440000,589824
stage3_unit1_sc,Conv2D,"[None, 75, 75, 256]",1440000,float32,256,"[1, 1]",linear,False,"[None, 75, 75, 256]",1440000,32768
add_5,Add,"[None, 75, 75, 256]",1440000,float32,NaN,NaN,NaN,NaN,"[None, 75, 75, 256]",1440000,0
stage3_unit2_bn1,BatchNormalization,"[None, 75, 75, 256]",1440000,float32,NaN,NaN,NaN,NaN,"[None, 75, 75, 256]",1440000,1024
stage3_unit2_relu1,Activation,"[None, 75, 75, 256]",1440000,float32,NaN,NaN,relu,NaN,"[None, 75, 75, 256]",1440000,0
zero_padding2d_13,ZeroPadding2D,"[None, 75, 75, 256]",1440000,float32,NaN,NaN,NaN,NaN,"[None, 77, 77, 256]",1517824,0
