layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 2400, 2400, 3]",17280000,float32,NaN,NaN,NaN,NaN,"[None, 2400, 2400, 3]",17280000,0
conv2d_1,Conv2D,"[None, 2400, 2400, 3]",1,float32,16,"[3, 3]",linear,True,"[None, 2400, 2400, 16]",92160000,448
batch_normalization_1,BatchNormalization,"[None, 2400, 2400, 16]",92160000,float32,NaN,NaN,NaN,NaN,"[None, 2400, 2400, 16]",92160000,64
activation_1,Activation,"[None, 2400, 2400, 16]",92160000,float32,NaN,NaN,relu,NaN,"[None, 2400, 2400, 16]",92160000,0
conv2d_2,Conv2D,"[None, 2400, 2400, 16]",92160000,float32,16,"[1, 1]",linear,True,"[None, 2400, 2400, 16]",92160000,272
batch_normalization_2,BatchNormalization,"[None, 2400, 2400, 16]",92160000,float32,NaN,NaN,NaN,NaN,"[None, 2400, 2400, 16]",92160000,64
activation_2,Activation,"[None, 2400, 2400, 16]",92160000,float32,NaN,NaN,relu,NaN,"[None, 2400, 2400, 16]",92160000,0
conv2d_3,Conv2D,"[None, 2400, 2400, 16]",92160000,float32,16,"[3, 3]",linear,True,"[None, 2400, 2400, 16]",92160000,2320
batch_normalization_3,BatchNormalization,"[None, 2400, 2400, 16]",92160000,float32,NaN,NaN,NaN,NaN,"[None, 2400, 2400, 16]",92160000,64
activation_3,Activation,"[None, 2400, 2400, 16]",92160000,float32,NaN,NaN,relu,NaN,"[None, 2400, 2400, 16]",92160000,0
conv2d_5,Conv2D,"[None, 2400, 2400, 16]",92160000,float32,64,"[1, 1]",linear,True,"[None, 2400, 2400, 64]",368640000,1088
conv2d_4,Conv2D,"[None, 2400, 2400, 64]",368640000,float32,64,"[1, 1]",linear,True,"[None, 2400, 2400, 64]",368640000,1088
add_1,Add,"[None, 2400, 2400, 64]",368640000,float32,NaN,NaN,NaN,NaN,"[None, 2400, 2400, 64]",368640000,0
batch_normalization_4,BatchNormalization,"[None, 2400, 2400, 64]",368640000,float32,NaN,NaN,NaN,NaN,"[None, 2400, 2400, 64]",368640000,256
activation_4,Activation,"[None, 2400, 2400, 64]",368640000,float32,NaN,NaN,relu,NaN,"[None, 2400, 2400, 64]",368640000,0
conv2d_6,Conv2D,"[None, 2400, 2400, 64]",368640000,float32,16,"[1, 1]",linear,True,"[None, 2400, 2400, 16]",92160000,1040
batch_normalization_5,BatchNormalization,"[None, 2400, 2400, 16]",92160000,float32,NaN,NaN,NaN,NaN,"[None, 2400, 2400, 16]",92160000,64
activation_5,Activation,"[None, 2400, 2400, 16]",92160000,float32,NaN,NaN,relu,NaN,"[None, 2400, 2400, 16]",92160000,0
conv2d_7,Conv2D,"[None, 2400, 2400, 16]",92160000,float32,16,"[3, 3]",linear,True,"[None, 2400, 2400, 16]",92160000,2320
batch_normalization_6,BatchNormalization,"[None, 2400, 2400, 16]",92160000,float32,NaN,NaN,NaN,NaN,"[None, 2400, 2400, 16]",92160000,64
activation_6,Activation,"[None, 2400, 2400, 16]",92160000,float32,NaN,NaN,relu,NaN,"[None, 2400, 2400, 16]",92160000,0
