layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 299, 299, 3]",268203,float32,NaN,NaN,NaN,NaN,"[None, 299, 299, 3]",268203,0
bn_data,BatchNormalization,"[None, 299, 299, 3]",1,float32,NaN,NaN,NaN,NaN,"[None, 299, 299, 3]",268203,9
zero_padding2d_1,ZeroPadding2D,"[None, 299, 299, 3]",268203,float32,NaN,NaN,NaN,NaN,"[None, 305, 305, 3]",279075,0
conv0,Conv2D,"[None, 305, 305, 3]",279075,float32,64,"[7, 7]",linear,False,"[None, 150, 150, 64]",1440000,9408
bn0,BatchNormalization,"[None, 150, 150, 64]",1440000,float32,NaN,NaN,NaN,NaN,"[None, 150, 150, 64]",1440000,256
relu0,Activation,"[None, 150, 150, 64]",1440000,float32,NaN,NaN,relu,NaN,"[None, 150, 150, 64]",1440000,0
zero_padding2d_2,ZeroPadding2D,"[None, 150, 150, 64]",1440000,float32,NaN,NaN,NaN,NaN,"[None, 152, 152, 64]",1478656,0
pooling0,MaxPooling2D,"[None, 152, 152, 64]",1478656,float32,NaN,NaN,NaN,NaN,"[None, 75, 75, 64]",360000,0
stage1_unit1_conv1,Conv2D,"[None, 75, 75, 64]",360000,float32,128,"[1, 1]",linear,False,"[None, 75, 75, 128]",720000,8192
stage1_unit1_bn1,BatchNormalization,"[None, 75, 75, 128]",720000,float32,NaN,NaN,NaN,NaN,"[None, 75, 75, 128]",720000,512
stage1_unit1_relu1,Activation,"[None, 75, 75, 128]",720000,float32,NaN,NaN,relu,NaN,"[None, 75, 75, 128]",720000,0
zero_padding2d_3,ZeroPadding2D,"[None, 75, 75, 128]",720000,float32,NaN,NaN,NaN,NaN,"[None, 77, 77, 128]",758912,0
lambda_1,Lambda,"[None, 77, 77, 128]",758912,float32,NaN,NaN,NaN,NaN,"[None, 77, 77, 4]",23716,0
lambda_2,Lambda,"[None, 77, 77, 4]",23716,float32,NaN,NaN,NaN,NaN,"[None, 77, 77, 4]",23716,0
lambda_3,Lambda,"[None, 77, 77, 4]",23716,float32,NaN,NaN,NaN,NaN,"[None, 77, 77, 4]",23716,0
lambda_4,Lambda,"[None, 77, 77, 4]",23716,float32,NaN,NaN,NaN,NaN,"[None, 77, 77, 4]",23716,0
lambda_5,Lambda,"[None, 77, 77, 4]",23716,float32,NaN,NaN,NaN,NaN,"[None, 77, 77, 4]",23716,0
lambda_6,Lambda,"[None, 77, 77, 4]",23716,float32,NaN,NaN,NaN,NaN,"[None, 77, 77, 4]",23716,0
lambda_7,Lambda,"[None, 77, 77, 4]",23716,float32,NaN,NaN,NaN,NaN,"[None, 77, 77, 4]",23716,0
lambda_8,Lambda,"[None, 77, 77, 4]",23716,float32,NaN,NaN,NaN,NaN,"[None, 77, 77, 4]",23716,0
