layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 56, 56, 3]",9408,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 3]",9408,0
zero_padding2d_1,ZeroPadding2D,"[None, 56, 56, 3]",1,float32,NaN,NaN,NaN,NaN,"[None, 62, 62, 3]",11532,0
conv2d_1,Conv2D,"[None, 62, 62, 3]",11532,float32,64,"[7, 7]",linear,False,"[None, 28, 28, 64]",50176,9408
batch_normalization_1,BatchNormalization,"[None, 28, 28, 64]",50176,float32,NaN,NaN,NaN,NaN,"[None, 28, 28, 64]",50176,256
activation_1,Activation,"[None, 28, 28, 64]",50176,float32,NaN,NaN,relu,NaN,"[None, 28, 28, 64]",50176,0
zero_padding2d_2,ZeroPadding2D,"[None, 28, 28, 64]",50176,float32,NaN,NaN,NaN,NaN,"[None, 30, 30, 64]",57600,0
max_pooling2d_1,MaxPooling2D,"[None, 30, 30, 64]",57600,float32,NaN,NaN,NaN,NaN,"[None, 14, 14, 64]",12544,0
conv2d_2,Conv2D,"[None, 14, 14, 64]",12544,float32,128,"[1, 1]",linear,False,"[None, 14, 14, 128]",25088,8192
batch_normalization_2,BatchNormalization,"[None, 14, 14, 128]",25088,float32,NaN,NaN,NaN,NaN,"[None, 14, 14, 128]",25088,512
activation_2,Activation,"[None, 14, 14, 128]",25088,float32,NaN,NaN,relu,NaN,"[None, 14, 14, 128]",25088,0
zero_padding2d_3,ZeroPadding2D,"[None, 14, 14, 128]",25088,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 128]",32768,0
lambda_1,Lambda,"[None, 16, 16, 128]",32768,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_2,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_3,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_4,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_5,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_6,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_7,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_8,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_9,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_10,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_11,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_12,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_13,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_14,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_15,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_16,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_17,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_18,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_19,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_20,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_21,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_22,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_23,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_24,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_25,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_26,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_27,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_28,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_29,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_30,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_31,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
lambda_32,Lambda,"[None, 16, 16, 4]",1024,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 4]",1024,0
conv2d_3,Conv2D,"[None, 16, 16, 4]",1024,float32,4,"[3, 3]",linear,False,"[None, 14, 14, 4]",784,144
conv2d_4,Conv2D,"[None, 14, 14, 4]",784,float32,4,"[3, 3]",linear,False,"[None, 14, 14, 4]",784,144
conv2d_5,Conv2D,"[None, 14, 14, 4]",784,float32,4,"[3, 3]",linear,False,"[None, 14, 14, 4]",784,144
conv2d_6,Conv2D,"[None, 14, 14, 4]",784,float32,4,"[3, 3]",linear,False,"[None, 14, 14, 4]",784,144
conv2d_7,Conv2D,"[None, 14, 14, 4]",784,float32,4,"[3, 3]",linear,False,"[None, 14, 14, 4]",784,144
conv2d_8,Conv2D,"[None, 14, 14, 4]",784,float32,4,"[3, 3]",linear,False,"[None, 14, 14, 4]",784,144
conv2d_9,Conv2D,"[None, 14, 14, 4]",784,float32,4,"[3, 3]",linear,False,"[None, 14, 14, 4]",784,144
conv2d_10,Conv2D,"[None, 14, 14, 4]",784,float32,4,"[3, 3]",linear,False,"[None, 14, 14, 4]",784,144
conv2d_11,Conv2D,"[None, 14, 14, 4]",784,float32,4,"[3, 3]",linear,False,"[None, 14, 14, 4]",784,144
conv2d_12,Conv2D,"[None, 14, 14, 4]",784,float32,4,"[3, 3]",linear,False,"[None, 14, 14, 4]",784,144
conv2d_13,Conv2D,"[None, 14, 14, 4]",784,float32,4,"[3, 3]",linear,False,"[None, 14, 14, 4]",784,144
conv2d_14,Conv2D,"[None, 14, 14, 4]",784,float32,4,"[3, 3]",linear,False,"[None, 14, 14, 4]",784,144
conv2d_15,Conv2D,"[None, 14, 14, 4]",784,float32,4,"[3, 3]",linear,False,"[None, 14, 14, 4]",784,144
conv2d_16,Conv2D,"[None, 14, 14, 4]",784,float32,4,"[3, 3]",linear,False,"[None, 14, 14, 4]",784,144
conv2d_17,Conv2D,"[None, 14, 14, 4]",784,float32,4,"[3, 3]",linear,False,"[None, 14, 14, 4]",784,144
conv2d_18,Conv2D,"[None, 14, 14, 4]",784,float32,4,"[3, 3]",linear,False,"[None, 14, 14, 4]",784,144
conv2d_19,Conv2D,"[None, 14, 14, 4]",784,float32,4,"[3, 3]",linear,False,"[None, 14, 14, 4]",784,144
conv2d_20,Conv2D,"[None, 14, 14, 4]",784,float32,4,"[3, 3]",linear,False,"[None, 14, 14, 4]",784,144
conv2d_21,Conv2D,"[None, 14, 14, 4]",784,float32,4,"[3, 3]",linear,False,"[None, 14, 14, 4]",784,144
conv2d_22,Conv2D,"[None, 14, 14, 4]",784,float32,4,"[3, 3]",linear,False,"[None, 14, 14, 4]",784,144
conv2d_23,Conv2D,"[None, 14, 14, 4]",784,float32,4,"[3, 3]",linear,False,"[None, 14, 14, 4]",784,144
conv2d_24,Conv2D,"[None, 14, 14, 4]",784,float32,4,"[3, 3]",linear,False,"[None, 14, 14, 4]",784,144
