layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 1600, 1600, 3]",7680000,float32,NaN,NaN,NaN,NaN,"[None, 1600, 1600, 3]",7680000,0
conv1,Conv2D,"[None, 1600, 1600, 3]",1,float32,64,"[3, 3]",linear,True,"[None, 799, 799, 64]",40857664,1792
relu_conv1,Activation,"[None, 799, 799, 64]",40857664,float32,NaN,NaN,relu,NaN,"[None, 799, 799, 64]",40857664,0
pool1,MaxPooling2D,"[None, 799, 799, 64]",40857664,float32,NaN,NaN,NaN,NaN,"[None, 399, 399, 64]",10188864,0
fire2/squeeze1x1,Conv2D,"[None, 399, 399, 64]",10188864,float32,16,"[1, 1]",linear,True,"[None, 399, 399, 16]",2547216,1040
fire2/relu_squeeze1x1,Activation,"[None, 399, 399, 16]",2547216,float32,NaN,NaN,relu,NaN,"[None, 399, 399, 16]",2547216,0
fire2/expand1x1,Conv2D,"[None, 399, 399, 16]",2547216,float32,64,"[1, 1]",linear,True,"[None, 399, 399, 64]",10188864,1088
fire2/expand3x3,Conv2D,"[None, 399, 399, 64]",10188864,float32,64,"[3, 3]",linear,True,"[None, 399, 399, 64]",10188864,9280
fire2/relu_expand1x1,Activation,"[None, 399, 399, 64]",10188864,float32,NaN,NaN,relu,NaN,"[None, 399, 399, 64]",10188864,0
fire2/relu_expand3x3,Activation,"[None, 399, 399, 64]",10188864,float32,NaN,NaN,relu,NaN,"[None, 399, 399, 64]",10188864,0
fire2/concat,Concatenate,"[None, 399, 399, 64]",10188864,float32,NaN,NaN,NaN,NaN,"[None, 399, 399, 128]",20377728,0
fire3/squeeze1x1,Conv2D,"[None, 399, 399, 128]",20377728,float32,16,"[1, 1]",linear,True,"[None, 399, 399, 16]",2547216,2064
fire3/relu_squeeze1x1,Activation,"[None, 399, 399, 16]",2547216,float32,NaN,NaN,relu,NaN,"[None, 399, 399, 16]",2547216,0
fire3/expand1x1,Conv2D,"[None, 399, 399, 16]",2547216,float32,64,"[1, 1]",linear,True,"[None, 399, 399, 64]",10188864,1088
fire3/expand3x3,Conv2D,"[None, 399, 399, 64]",10188864,float32,64,"[3, 3]",linear,True,"[None, 399, 399, 64]",10188864,9280
fire3/relu_expand1x1,Activation,"[None, 399, 399, 64]",10188864,float32,NaN,NaN,relu,NaN,"[None, 399, 399, 64]",10188864,0
fire3/relu_expand3x3,Activation,"[None, 399, 399, 64]",10188864,float32,NaN,NaN,relu,NaN,"[None, 399, 399, 64]",10188864,0
fire3/concat,Concatenate,"[None, 399, 399, 64]",10188864,float32,NaN,NaN,NaN,NaN,"[None, 399, 399, 128]",20377728,0
pool3,MaxPooling2D,"[None, 399, 399, 128]",20377728,float32,NaN,NaN,NaN,NaN,"[None, 199, 199, 128]",5068928,0
fire4/squeeze1x1,Conv2D,"[None, 199, 199, 128]",5068928,float32,32,"[1, 1]",linear,True,"[None, 199, 199, 32]",1267232,4128
fire4/relu_squeeze1x1,Activation,"[None, 199, 199, 32]",1267232,float32,NaN,NaN,relu,NaN,"[None, 199, 199, 32]",1267232,0
fire4/expand1x1,Conv2D,"[None, 199, 199, 32]",1267232,float32,128,"[1, 1]",linear,True,"[None, 199, 199, 128]",5068928,4224
fire4/expand3x3,Conv2D,"[None, 199, 199, 128]",5068928,float32,128,"[3, 3]",linear,True,"[None, 199, 199, 128]",5068928,36992
fire4/relu_expand1x1,Activation,"[None, 199, 199, 128]",5068928,float32,NaN,NaN,relu,NaN,"[None, 199, 199, 128]",5068928,0
fire4/relu_expand3x3,Activation,"[None, 199, 199, 128]",5068928,float32,NaN,NaN,relu,NaN,"[None, 199, 199, 128]",5068928,0
fire4/concat,Concatenate,"[None, 199, 199, 128]",5068928,float32,NaN,NaN,NaN,NaN,"[None, 199, 199, 256]",10137856,0
fire5/squeeze1x1,Conv2D,"[None, 199, 199, 256]",10137856,float32,32,"[1, 1]",linear,True,"[None, 199, 199, 32]",1267232,8224
fire5/relu_squeeze1x1,Activation,"[None, 199, 199, 32]",1267232,float32,NaN,NaN,relu,NaN,"[None, 199, 199, 32]",1267232,0
fire5/expand1x1,Conv2D,"[None, 199, 199, 32]",1267232,float32,128,"[1, 1]",linear,True,"[None, 199, 199, 128]",5068928,4224
fire5/expand3x3,Conv2D,"[None, 199, 199, 128]",5068928,float32,128,"[3, 3]",linear,True,"[None, 199, 199, 128]",5068928,36992
fire5/relu_expand1x1,Activation,"[None, 199, 199, 128]",5068928,float32,NaN,NaN,relu,NaN,"[None, 199, 199, 128]",5068928,0
fire5/relu_expand3x3,Activation,"[None, 199, 199, 128]",5068928,float32,NaN,NaN,relu,NaN,"[None, 199, 199, 128]",5068928,0
fire5/concat,Concatenate,"[None, 199, 199, 128]",5068928,float32,NaN,NaN,NaN,NaN,"[None, 199, 199, 256]",10137856,0
pool5,MaxPooling2D,"[None, 199, 199, 256]",10137856,float32,NaN,NaN,NaN,NaN,"[None, 99, 99, 256]",2509056,0
fire6/squeeze1x1,Conv2D,"[None, 99, 99, 256]",2509056,float32,48,"[1, 1]",linear,True,"[None, 99, 99, 48]",470448,12336
fire6/relu_squeeze1x1,Activation,"[None, 99, 99, 48]",470448,float32,NaN,NaN,relu,NaN,"[None, 99, 99, 48]",470448,0
fire6/expand1x1,Conv2D,"[None, 99, 99, 48]",470448,float32,192,"[1, 1]",linear,True,"[None, 99, 99, 192]",1881792,9408
fire6/expand3x3,Conv2D,"[None, 99, 99, 192]",1881792,float32,192,"[3, 3]",linear,True,"[None, 99, 99, 192]",1881792,83136
fire6/relu_expand1x1,Activation,"[None, 99, 99, 192]",1881792,float32,NaN,NaN,relu,NaN,"[None, 99, 99, 192]",1881792,0
fire6/relu_expand3x3,Activation,"[None, 99, 99, 192]",1881792,float32,NaN,NaN,relu,NaN,"[None, 99, 99, 192]",1881792,0
fire6/concat,Concatenate,"[None, 99, 99, 192]",1881792,float32,NaN,NaN,NaN,NaN,"[None, 99, 99, 384]",3763584,0
fire7/squeeze1x1,Conv2D,"[None, 99, 99, 384]",3763584,float32,48,"[1, 1]",linear,True,"[None, 99, 99, 48]",470448,18480
fire7/relu_squeeze1x1,Activation,"[None, 99, 99, 48]",470448,float32,NaN,NaN,relu,NaN,"[None, 99, 99, 48]",470448,0
fire7/expand1x1,Conv2D,"[None, 99, 99, 48]",470448,float32,192,"[1, 1]",linear,True,"[None, 99, 99, 192]",1881792,9408
fire7/expand3x3,Conv2D,"[None, 99, 99, 192]",1881792,float32,192,"[3, 3]",linear,True,"[None, 99, 99, 192]",1881792,83136
fire7/relu_expand1x1,Activation,"[None, 99, 99, 192]",1881792,float32,NaN,NaN,relu,NaN,"[None, 99, 99, 192]",1881792,0
fire7/relu_expand3x3,Activation,"[None, 99, 99, 192]",1881792,float32,NaN,NaN,relu,NaN,"[None, 99, 99, 192]",1881792,0
fire7/concat,Concatenate,"[None, 99, 99, 192]",1881792,float32,NaN,NaN,NaN,NaN,"[None, 99, 99, 384]",3763584,0
fire8/squeeze1x1,Conv2D,"[None, 99, 99, 384]",3763584,float32,64,"[1, 1]",linear,True,"[None, 99, 99, 64]",627264,24640
fire8/relu_squeeze1x1,Activation,"[None, 99, 99, 64]",627264,float32,NaN,NaN,relu,NaN,"[None, 99, 99, 64]",627264,0
fire8/expand1x1,Conv2D,"[None, 99, 99, 64]",627264,float32,256,"[1, 1]",linear,True,"[None, 99, 99, 256]",2509056,16640
fire8/expand3x3,Conv2D,"[None, 99, 99, 256]",2509056,float32,256,"[3, 3]",linear,True,"[None, 99, 99, 256]",2509056,147712
fire8/relu_expand1x1,Activation,"[None, 99, 99, 256]",2509056,float32,NaN,NaN,relu,NaN,"[None, 99, 99, 256]",2509056,0
fire8/relu_expand3x3,Activation,"[None, 99, 99, 256]",2509056,float32,NaN,NaN,relu,NaN,"[None, 99, 99, 256]",2509056,0
fire8/concat,Concatenate,"[None, 99, 99, 256]",2509056,float32,NaN,NaN,NaN,NaN,"[None, 99, 99, 512]",5018112,0
fire9/squeeze1x1,Conv2D,"[None, 99, 99, 512]",5018112,float32,64,"[1, 1]",linear,True,"[None, 99, 99, 64]",627264,32832
fire9/relu_squeeze1x1,Activation,"[None, 99, 99, 64]",627264,float32,NaN,NaN,relu,NaN,"[None, 99, 99, 64]",627264,0
fire9/expand1x1,Conv2D,"[None, 99, 99, 64]",627264,float32,256,"[1, 1]",linear,True,"[None, 99, 99, 256]",2509056,16640
fire9/expand3x3,Conv2D,"[None, 99, 99, 256]",2509056,float32,256,"[3, 3]",linear,True,"[None, 99, 99, 256]",2509056,147712
fire9/relu_expand1x1,Activation,"[None, 99, 99, 256]",2509056,float32,NaN,NaN,relu,NaN,"[None, 99, 99, 256]",2509056,0
fire9/relu_expand3x3,Activation,"[None, 99, 99, 256]",2509056,float32,NaN,NaN,relu,NaN,"[None, 99, 99, 256]",2509056,0
fire9/concat,Concatenate,"[None, 99, 99, 256]",2509056,float32,NaN,NaN,NaN,NaN,"[None, 99, 99, 512]",5018112,0
drop9,Dropout,"[None, 99, 99, 512]",5018112,float32,NaN,NaN,NaN,NaN,"[None, 99, 99, 512]",5018112,0
conv10,Conv2D,"[None, 99, 99, 512]",5018112,float32,1000,"[1, 1]",linear,True,"[None, 99, 99, 1000]",9801000,513000
relu_conv10,Activation,"[None, 99, 99, 1000]",9801000,float32,NaN,NaN,relu,NaN,"[None, 99, 99, 1000]",9801000,0
global_average_pooling2d_1,GlobalAveragePooling2D,"[None, 99, 99, 1000]",9801000,float32,NaN,NaN,NaN,NaN,"[None, 1000]",1000,0
loss,Activation,"[None, 1000]",1000,float32,NaN,NaN,softmax,NaN,"[None, 1000]",1000,0
