layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 256, 256, 3]",196608,float32,NaN,NaN,NaN,NaN,"[None, 256, 256, 3]",196608,0
block1_conv1,Conv2D,"[None, 256, 256, 3]",1,float32,64,"[3, 3]",relu,True,"[None, 256, 256, 64]",4194304,1792
block1_conv2,Conv2D,"[None, 256, 256, 64]",4194304,float32,64,"[3, 3]",relu,True,"[None, 256, 256, 64]",4194304,36928
block1_pool,MaxPooling2D,"[None, 256, 256, 64]",4194304,float32,NaN,NaN,NaN,NaN,"[None, 128, 128, 64]",1048576,0
block2_conv1,Conv2D,"[None, 128, 128, 64]",1048576,float32,128,"[3, 3]",relu,True,"[None, 128, 128, 128]",2097152,73856
block2_conv2,Conv2D,"[None, 128, 128, 128]",2097152,float32,128,"[3, 3]",relu,True,"[None, 128, 128, 128]",2097152,147584
block2_pool,MaxPooling2D,"[None, 128, 128, 128]",2097152,float32,NaN,NaN,NaN,NaN,"[None, 64, 64, 128]",524288,0
block3_conv1,Conv2D,"[None, 64, 64, 128]",524288,float32,256,"[3, 3]",relu,True,"[None, 64, 64, 256]",1048576,295168
block3_conv2,Conv2D,"[None, 64, 64, 256]",1048576,float32,256,"[3, 3]",relu,True,"[None, 64, 64, 256]",1048576,590080
block3_conv3,Conv2D,"[None, 64, 64, 256]",1048576,float32,256,"[3, 3]",relu,True,"[None, 64, 64, 256]",1048576,590080
block3_conv4,Conv2D,"[None, 64, 64, 256]",1048576,float32,256,"[3, 3]",relu,True,"[None, 64, 64, 256]",1048576,590080
block3_pool,MaxPooling2D,"[None, 64, 64, 256]",1048576,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 256]",262144,0
block4_conv1,Conv2D,"[None, 32, 32, 256]",262144,float32,512,"[3, 3]",relu,True,"[None, 32, 32, 512]",524288,1180160
block4_conv2,Conv2D,"[None, 32, 32, 512]",524288,float32,512,"[3, 3]",relu,True,"[None, 32, 32, 512]",524288,2359808
block4_conv3,Conv2D,"[None, 32, 32, 512]",524288,float32,512,"[3, 3]",relu,True,"[None, 32, 32, 512]",524288,2359808
block4_conv4,Conv2D,"[None, 32, 32, 512]",524288,float32,512,"[3, 3]",relu,True,"[None, 32, 32, 512]",524288,2359808
block4_pool,MaxPooling2D,"[None, 32, 32, 512]",524288,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 512]",131072,0
block5_conv1,Conv2D,"[None, 16, 16, 512]",131072,float32,512,"[3, 3]",relu,True,"[None, 16, 16, 512]",131072,2359808
block5_conv2,Conv2D,"[None, 16, 16, 512]",131072,float32,512,"[3, 3]",relu,True,"[None, 16, 16, 512]",131072,2359808
block5_conv3,Conv2D,"[None, 16, 16, 512]",131072,float32,512,"[3, 3]",relu,True,"[None, 16, 16, 512]",131072,2359808
block5_conv4,Conv2D,"[None, 16, 16, 512]",131072,float32,512,"[3, 3]",relu,True,"[None, 16, 16, 512]",131072,2359808
block5_pool,MaxPooling2D,"[None, 16, 16, 512]",131072,float32,NaN,NaN,NaN,NaN,"[None, 8, 8, 512]",32768,0
flatten,Flatten,"[None, 8, 8, 512]",32768,float32,NaN,NaN,NaN,NaN,"[None, 32768]",32768,0
fc1,Dense,"[None, 32768]",32768,float32,NaN,NaN,relu,True,"[None, 4096]",4096,134221824
fc2,Dense,"[None, 4096]",4096,float32,NaN,NaN,relu,True,"[None, 4096]",4096,16781312
predictions,Dense,"[None, 4096]",4096,float32,NaN,NaN,softmax,True,"[None, 1000]",1000,4097000
