layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 1200, 1200, 3]",4320000,float32,NaN,NaN,NaN,NaN,"[None, 1200, 1200, 3]",4320000,0
block1_conv1,Conv2D,"[None, 1200, 1200, 3]",1,float32,32,"[3, 3]",linear,False,"[None, 599, 599, 32]",11481632,864
block1_conv1_bn,BatchNormalization,"[None, 599, 599, 32]",11481632,float32,NaN,NaN,NaN,NaN,"[None, 599, 599, 32]",11481632,128
block1_conv1_act,Activation,"[None, 599, 599, 32]",11481632,float32,NaN,NaN,relu,NaN,"[None, 599, 599, 32]",11481632,0
block1_conv2,Conv2D,"[None, 599, 599, 32]",11481632,float32,64,"[3, 3]",linear,False,"[None, 597, 597, 64]",22810176,18432
block1_conv2_bn,BatchNormalization,"[None, 597, 597, 64]",22810176,float32,NaN,NaN,NaN,NaN,"[None, 597, 597, 64]",22810176,256
block1_conv2_act,Activation,"[None, 597, 597, 64]",22810176,float32,NaN,NaN,relu,NaN,"[None, 597, 597, 64]",22810176,0
block2_sepconv1,SeparableConv2D,"[None, 597, 597, 64]",22810176,float32,128,"[3, 3]",linear,False,"[None, 597, 597, 128]",45620352,8768
block2_sepconv1_bn,BatchNormalization,"[None, 597, 597, 128]",45620352,float32,NaN,NaN,NaN,NaN,"[None, 597, 597, 128]",45620352,512
block2_sepconv2_act,Activation,"[None, 597, 597, 128]",45620352,float32,NaN,NaN,relu,NaN,"[None, 597, 597, 128]",45620352,0
block2_sepconv2,SeparableConv2D,"[None, 597, 597, 128]",45620352,float32,128,"[3, 3]",linear,False,"[None, 597, 597, 128]",45620352,17536
block2_sepconv2_bn,BatchNormalization,"[None, 597, 597, 128]",45620352,float32,NaN,NaN,NaN,NaN,"[None, 597, 597, 128]",45620352,512
conv2d_1,Conv2D,"[None, 597, 597, 128]",45620352,float32,128,"[1, 1]",linear,False,"[None, 299, 299, 128]",11443328,8192
block2_pool,MaxPooling2D,"[None, 299, 299, 128]",11443328,float32,NaN,NaN,NaN,NaN,"[None, 299, 299, 128]",11443328,0
batch_normalization_1,BatchNormalization,"[None, 299, 299, 128]",11443328,float32,NaN,NaN,NaN,NaN,"[None, 299, 299, 128]",11443328,512
add_1,Add,"[None, 299, 299, 128]",11443328,float32,NaN,NaN,NaN,NaN,"[None, 299, 299, 128]",11443328,0
block3_sepconv1_act,Activation,"[None, 299, 299, 128]",11443328,float32,NaN,NaN,relu,NaN,"[None, 299, 299, 128]",11443328,0
block3_sepconv1,SeparableConv2D,"[None, 299, 299, 128]",11443328,float32,256,"[3, 3]",linear,False,"[None, 299, 299, 256]",22886656,33920
block3_sepconv1_bn,BatchNormalization,"[None, 299, 299, 256]",22886656,float32,NaN,NaN,NaN,NaN,"[None, 299, 299, 256]",22886656,1024
block3_sepconv2_act,Activation,"[None, 299, 299, 256]",22886656,float32,NaN,NaN,relu,NaN,"[None, 299, 299, 256]",22886656,0
block3_sepconv2,SeparableConv2D,"[None, 299, 299, 256]",22886656,float32,256,"[3, 3]",linear,False,"[None, 299, 299, 256]",22886656,67840
block3_sepconv2_bn,BatchNormalization,"[None, 299, 299, 256]",22886656,float32,NaN,NaN,NaN,NaN,"[None, 299, 299, 256]",22886656,1024
conv2d_2,Conv2D,"[None, 299, 299, 256]",22886656,float32,256,"[1, 1]",linear,False,"[None, 150, 150, 256]",5760000,32768
block3_pool,MaxPooling2D,"[None, 150, 150, 256]",5760000,float32,NaN,NaN,NaN,NaN,"[None, 150, 150, 256]",5760000,0
batch_normalization_2,BatchNormalization,"[None, 150, 150, 256]",5760000,float32,NaN,NaN,NaN,NaN,"[None, 150, 150, 256]",5760000,1024
add_2,Add,"[None, 150, 150, 256]",5760000,float32,NaN,NaN,NaN,NaN,"[None, 150, 150, 256]",5760000,0
block4_sepconv1_act,Activation,"[None, 150, 150, 256]",5760000,float32,NaN,NaN,relu,NaN,"[None, 150, 150, 256]",5760000,0
block4_sepconv1,SeparableConv2D,"[None, 150, 150, 256]",5760000,float32,728,"[3, 3]",linear,False,"[None, 150, 150, 728]",16380000,188672
block4_sepconv1_bn,BatchNormalization,"[None, 150, 150, 728]",16380000,float32,NaN,NaN,NaN,NaN,"[None, 150, 150, 728]",16380000,2912
block4_sepconv2_act,Activation,"[None, 150, 150, 728]",16380000,float32,NaN,NaN,relu,NaN,"[None, 150, 150, 728]",16380000,0
block4_sepconv2,SeparableConv2D,"[None, 150, 150, 728]",16380000,float32,728,"[3, 3]",linear,False,"[None, 150, 150, 728]",16380000,536536
block4_sepconv2_bn,BatchNormalization,"[None, 150, 150, 728]",16380000,float32,NaN,NaN,NaN,NaN,"[None, 150, 150, 728]",16380000,2912
conv2d_3,Conv2D,"[None, 150, 150, 728]",16380000,float32,728,"[1, 1]",linear,False,"[None, 75, 75, 728]",4095000,186368
block4_pool,MaxPooling2D,"[None, 75, 75, 728]",4095000,float32,NaN,NaN,NaN,NaN,"[None, 75, 75, 728]",4095000,0
