Model name,input_shape,total_flops,total_params
ResNet-20,"(1, 32, 32, 3)",83003047,274442
ResNet-20,"(1, 32, 32, 3)",83003047,274442
ResNet-20,"(1, 56, 56, 3)",251946151,274442
ResNet-20,"(1, 64, 64, 3)",328758439,276362
ResNet-20,"(1, 75, 75, 3)",458815527,276362
ResNet-20,"(1, 112, 112, 3)",1004564135,279562
ResNet-20,"(1, 128, 128, 3)",1311780007,284042
ResNet-20,"(1, 150, 150, 3)",1816497639,284042
ResNet-20,"(1, 224, 224, 3)",4015089319,305162
ResNet-20,"(1, 240, 240, 3)",4608949927,305162
ResNet-20,"(1, 256, 256, 3)",5243866279,314762
ResNet-20,"(1, 299, 299, 3)",7183729191,325642
ResNet-20,"(1, 320, 320, 3)",8192930983,337802
ResNet-20,"(1, 331, 331, 3)",8799778855,337802
ResNet-20,"(1, 448, 448, 3)",16057103527,399242
ResNet-20,"(1, 480, 480, 3)",18432738983,417802
ResNet-20,"(1, 568, 568, 3)",25810347175,458762
ResNet-20,"(1, 600, 600, 3)",28800361127,481162
ResNet-20,"(1, 800, 800, 3)",51200124583,673802
ResNet-20,"(1, 896, 896, 3)",64225160359,775562
ResNet-20,"(1, 1024, 1024, 3)",83885591719,929162
ResNet-20,"(1, 1200, 1200, 3)",115198676647,1149962
ResNet-20,"(1, 1600, 1600, 3)",204797244583,1873802
ResNet-20,"(1, 1792, 1792, 3)",256897387687,2280842
ResNet-20,"(1, 2400, 2400, 3)",460792444583,3873802
ResNet-32,"(1, 32, 32, 3)",140574603,470218
ResNet-32,"(1, 56, 56, 3)",426657675,470218
ResNet-32,"(1, 64, 64, 3)",556715403,472138
ResNet-32,"(1, 75, 75, 3)",777154283,472138
ResNet-32,"(1, 112, 112, 3)",1701080971,475338
ResNet-32,"(1, 128, 128, 3)",2221278603,479818
ResNet-32,"(1, 150, 150, 3)",3076361483,479818
ResNet-32,"(1, 224, 224, 3)",6798827403,500938
ResNet-32,"(1, 240, 240, 3)",7804452747,500938
ResNet-32,"(1, 256, 256, 3)",8879531403,510538
ResNet-32,"(1, 299, 299, 3)",12165167339,521418
ResNet-32,"(1, 320, 320, 3)",13873221003,533578
ResNet-32,"(1, 331, 331, 3)",14901735147,533578
ResNet-32,"(1, 448, 448, 3)",27189726603,595018
ResNet-32,"(1, 480, 480, 3)",31212421003,613578
ResNet-32,"(1, 568, 568, 3)",43705141131,654538
ResNet-32,"(1, 600, 600, 3)",48768177547,676938
ResNet-32,"(1, 800, 800, 3)",86697861003,869578
ResNet-32,"(1, 896, 896, 3)",108753323403,971338
ResNet-32,"(1, 1024, 1024, 3)",142044587403,1124938
ResNet-32,"(1, 1200, 1200, 3)",195067613067,1345738
ResNet-32,"(1, 1600, 1600, 3)",346785861003,2069578
ResNet-32,"(1, 1792, 1792, 3)",435007710603,2476618
ResNet-32,"(1, 2400, 2400, 3)",780265861003,4069578
ResNet-56,"(1, 32, 32, 3)",255717715,861770
ResNet-56,"(1, 56, 56, 3)",776080723,861770
ResNet-56,"(1, 64, 64, 3)",1012629331,863690
ResNet-56,"(1, 75, 75, 3)",1413831795,863690
ResNet-56,"(1, 112, 112, 3)",3094114643,866890
ResNet-56,"(1, 128, 128, 3)",4040275795,871370
ResNet-56,"(1, 150, 150, 3)",5596089171,871370
ResNet-56,"(1, 224, 224, 3)",12366303571,892490
ResNet-56,"(1, 240, 240, 3)",14195458387,892490
ResNet-56,"(1, 256, 256, 3)",16150861651,902090
ResNet-56,"(1, 299, 299, 3)",22128043635,912970
ResNet-56,"(1, 320, 320, 3)",25233801043,925130
ResNet-56,"(1, 331, 331, 3)",27105647731,925130
ResNet-56,"(1, 448, 448, 3)",49454972755,986570
ResNet-56,"(1, 480, 480, 3)",56771785043,1005130
ResNet-56,"(1, 568, 568, 3)",79494729043,1046090
ResNet-56,"(1, 600, 600, 3)",88703810387,1068490
ResNet-56,"(1, 800, 800, 3)",157693333843,1261130
ResNet-56,"(1, 896, 896, 3)",197809649491,1362890
ResNet-56,"(1, 1024, 1024, 3)",258362578771,1516490
ResNet-56,"(1, 1200, 1200, 3)",354805485907,1737290
ResNet-56,"(1, 1600, 1600, 3)",630763093843,2461130
ResNet-56,"(1, 1792, 1792, 3)",791228356435,2868170
ResNet-56,"(1, 2400, 2400, 3)",1419212693843,4461130
ResNet-110,"(1, 32, 32, 3)",514789717,1742762
ResNet-110,"(1, 56, 56, 3)",1562282581,1742762
ResNet-110,"(1, 64, 64, 3)",2038435669,1744682
ResNet-110,"(1, 75, 75, 3)",2846356197,1744682
ResNet-110,"(1, 112, 112, 3)",6228440405,1747882
ResNet-110,"(1, 128, 128, 3)",8133019477,1752362
ResNet-110,"(1, 150, 150, 3)",11265476469,1752362
ResNet-110,"(1, 224, 224, 3)",24893124949,1773482
ResNet-110,"(1, 240, 240, 3)",28575221077,1773482
ResNet-110,"(1, 256, 256, 3)",32511354709,1783082
ResNet-110,"(1, 299, 299, 3)",44544515301,1793962
ResNet-110,"(1, 320, 320, 3)",50795106133,1806122
ResNet-110,"(1, 331, 331, 3)",54564451045,1806122
ResNet-110,"(1, 448, 448, 3)",99551776597,1867562
ResNet-110,"(1, 480, 480, 3)",114280354133,1886122
ResNet-110,"(1, 568, 568, 3)",160021301845,1927082
ResNet-110,"(1, 600, 600, 3)",178558984277,1949482
ResNet-110,"(1, 800, 800, 3)",317433147733,2142122
ResNet-110,"(1, 896, 896, 3)",398186383189,2243882
ResNet-110,"(1, 1024, 1024, 3)",520078059349,2397482
ResNet-110,"(1, 1200, 1200, 3)",714215699797,2618282
ResNet-110,"(1, 1600, 1600, 3)",1269711867733,3342122
ResNet-110,"(1, 1792, 1792, 3)",1592724809557,3749162
ResNet-110,"(1, 2400, 2400, 3)",2856843067733,5342122
ResNet-164,"(1, 32, 32, 3)",773861719,2623754
ResNet-164,"(1, 56, 56, 3)",2348484439,2623754
ResNet-164,"(1, 64, 64, 3)",3064242007,2625674
ResNet-164,"(1, 75, 75, 3)",4278880599,2625674
ResNet-164,"(1, 112, 112, 3)",9362766167,2628874
ResNet-164,"(1, 128, 128, 3)",12225763159,2633354
ResNet-164,"(1, 150, 150, 3)",16934863767,2633354
ResNet-164,"(1, 224, 224, 3)",37419946327,2654474
ResNet-164,"(1, 240, 240, 3)",42954983767,2654474
ResNet-164,"(1, 256, 256, 3)",48871847767,2664074
ResNet-164,"(1, 299, 299, 3)",66960986967,2674954
ResNet-164,"(1, 320, 320, 3)",76356411223,2687114
ResNet-164,"(1, 331, 331, 3)",82023254359,2687114
ResNet-164,"(1, 448, 448, 3)",149648580439,2748554
ResNet-164,"(1, 480, 480, 3)",171788923223,2767114
ResNet-164,"(1, 568, 568, 3)",240547874647,2808074
ResNet-164,"(1, 600, 600, 3)",268414158167,2830474
ResNet-164,"(1, 800, 800, 3)",477172961623,3023114
ResNet-164,"(1, 896, 896, 3)",598563116887,3124874
ResNet-164,"(1, 1024, 1024, 3)",781793539927,3278474
ResNet-164,"(1, 1200, 1200, 3)",1073625913687,3499274
ResNet-164,"(1, 1600, 1600, 3)",1908660641623,4223114
ResNet-164,"(1, 1792, 1792, 3)",2394221262679,4630154
ResNet-164,"(1, 2400, 2400, 3)",4294473441623,6223114
ResNet-56V2,"(1, 32, 32, 3)",394866996,1673738
ResNet-56V2,"(1, 56, 56, 3)",1195602228,1673738
ResNet-56V2,"(1, 64, 64, 3)",1559652660,1681418
ResNet-56V2,"(1, 75, 75, 3)",2188350500,1681418
ResNet-56V2,"(1, 112, 112, 3)",4762726708,1694218
ResNet-56V2,"(1, 128, 128, 3)",6218795316,1712138
ResNet-56V2,"(1, 150, 150, 3)",8635497076,1712138
ResNet-56V2,"(1, 224, 224, 3)",19031437620,1796618
ResNet-56V2,"(1, 240, 240, 3)",21846143284,1796618
ResNet-56V2,"(1, 256, 256, 3)",24855365940,1835018
ResNet-56V2,"(1, 299, 299, 3)",34098272292,1878538
ResNet-56V2,"(1, 320, 320, 3)",38832793908,1927178
ResNet-56V2,"(1, 331, 331, 3)",41762927652,1927178
ResNet-56V2,"(1, 448, 448, 3)",76105935156,2172938
ResNet-56V2,"(1, 480, 480, 3)",87365529908,2247178
ResNet-56V2,"(1, 568, 568, 3)",122332672308,2411018
ResNet-56V2,"(1, 600, 600, 3)",136504191284,2500618
ResNet-56V2,"(1, 800, 800, 3)",242670285108,3271178
ResNet-56V2,"(1, 896, 896, 3)",304403925300,3678218
ResNet-56V2,"(1, 1024, 1024, 3)",397586778420,4292618
ResNet-56V2,"(1, 1200, 1200, 3)",545998893364,5175818
ResNet-56V2,"(1, 1600, 1600, 3)",970661325108,8071178
ResNet-56V2,"(1, 1792, 1792, 3)",1217595885876,9699338
ResNet-56V2,"(1, 2400, 2400, 3)",2183979725108,16071178
ResNet-110V2,"(1, 32, 32, 3)",783888150,3323210
ResNet-110V2,"(1, 56, 56, 3)",2373531414,3323210
ResNet-110V2,"(1, 64, 64, 3)",3096176406,3330890
ResNet-110V2,"(1, 75, 75, 3)",4344383942,3330890
