layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 224, 224, 3]",150528,float32,NaN,NaN,NaN,NaN,"[None, 224, 224, 3]",150528,0
block1_conv1,Conv2D,"[None, 224, 224, 3]",1,float32,64,"[7, 7]",relu,True,"[None, 224, 224, 64]",3211264,9472
block1_pool,MaxPooling2D,"[None, 224, 224, 64]",3211264,float32,NaN,NaN,NaN,NaN,"[None, 111, 111, 64]",788544,0
block2_conv1,Conv2D,"[None, 111, 111, 64]",788544,float32,128,"[7, 7]",relu,True,"[None, 111, 111, 128]",1577088,401536
block2_pool,MaxPooling2D,"[None, 111, 111, 128]",1577088,float32,NaN,NaN,NaN,NaN,"[None, 55, 55, 128]",387200,0
block3_conv1,Conv2D,"[None, 55, 55, 128]",387200,float32,256,"[7, 7]",relu,True,"[None, 55, 55, 256]",774400,1605888
block3_pool,MaxPooling2D,"[None, 55, 55, 256]",774400,float32,NaN,NaN,NaN,NaN,"[None, 27, 27, 256]",186624,0
block4_conv1,Conv2D,"[None, 27, 27, 256]",186624,float32,512,"[7, 7]",relu,True,"[None, 27, 27, 512]",373248,6423040
block4_pool,MaxPooling2D,"[None, 27, 27, 512]",373248,float32,NaN,NaN,NaN,NaN,"[None, 13, 13, 512]",86528,0
flatten,Flatten,"[None, 13, 13, 512]",86528,float32,NaN,NaN,NaN,NaN,"[None, 86528]",86528,0
fc1,Dense,"[None, 86528]",86528,float32,NaN,NaN,relu,True,"[None, 2048]",2048,177211392
fc2,Dense,"[None, 2048]",2048,float32,NaN,NaN,relu,True,"[None, 2048]",2048,4196352
predictions,Dense,"[None, 2048]",2048,float32,NaN,NaN,softmax,True,"[None, 1000]",1000,2049000
