layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 32, 32, 3]",3072,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 3]",3072,0
conv2d_1,Conv2D,"[None, 32, 32, 3]",1,float32,128,"[7, 7]",linear,False,"[None, 16, 16, 128]",32768,18816
batch_normalization_1,BatchNormalization,"[None, 16, 16, 128]",32768,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 128]",32768,512
activation_1,Activation,"[None, 16, 16, 128]",32768,float32,NaN,NaN,relu,NaN,"[None, 16, 16, 128]",32768,0
max_pooling2d_1,MaxPooling2D,"[None, 16, 16, 128]",32768,float32,NaN,NaN,NaN,NaN,"[None, 8, 8, 128]",8192,0
conv2d_3,Conv2D,"[None, 8, 8, 128]",8192,float32,200,"[1, 1]",linear,False,"[None, 8, 8, 200]",12800,25600
batch_normalization_3,BatchNormalization,"[None, 8, 8, 200]",12800,float32,NaN,NaN,NaN,NaN,"[None, 8, 8, 200]",12800,800
activation_3,Activation,"[None, 8, 8, 200]",12800,float32,NaN,NaN,relu,NaN,"[None, 8, 8, 200]",12800,0
lambda_3,Lambda,"[None, 8, 8, 200]",12800,float32,NaN,NaN,NaN,NaN,"[None, 8, 8, 4]",256,0
lambda_4,Lambda,"[None, 8, 8, 4]",256,float32,NaN,NaN,NaN,NaN,"[None, 8, 8, 4]",256,0
lambda_5,Lambda,"[None, 8, 8, 4]",256,float32,NaN,NaN,NaN,NaN,"[None, 8, 8, 4]",256,0
lambda_6,Lambda,"[None, 8, 8, 4]",256,float32,NaN,NaN,NaN,NaN,"[None, 8, 8, 4]",256,0
lambda_7,Lambda,"[None, 8, 8, 4]",256,float32,NaN,NaN,NaN,NaN,"[None, 8, 8, 4]",256,0
lambda_8,Lambda,"[None, 8, 8, 4]",256,float32,NaN,NaN,NaN,NaN,"[None, 8, 8, 4]",256,0
lambda_9,Lambda,"[None, 8, 8, 4]",256,float32,NaN,NaN,NaN,NaN,"[None, 8, 8, 4]",256,0
lambda_10,Lambda,"[None, 8, 8, 4]",256,float32,NaN,NaN,NaN,NaN,"[None, 8, 8, 4]",256,0
lambda_11,Lambda,"[None, 8, 8, 4]",256,float32,NaN,NaN,NaN,NaN,"[None, 8, 8, 4]",256,0
lambda_12,Lambda,"[None, 8, 8, 4]",256,float32,NaN,NaN,NaN,NaN,"[None, 8, 8, 4]",256,0
lambda_13,Lambda,"[None, 8, 8, 4]",256,float32,NaN,NaN,NaN,NaN,"[None, 8, 8, 4]",256,0
lambda_14,Lambda,"[None, 8, 8, 4]",256,float32,NaN,NaN,NaN,NaN,"[None, 8, 8, 4]",256,0
lambda_15,Lambda,"[None, 8, 8, 4]",256,float32,NaN,NaN,NaN,NaN,"[None, 8, 8, 4]",256,0
lambda_16,Lambda,"[None, 8, 8, 4]",256,float32,NaN,NaN,NaN,NaN,"[None, 8, 8, 4]",256,0
lambda_17,Lambda,"[None, 8, 8, 4]",256,float32,NaN,NaN,NaN,NaN,"[None, 8, 8, 4]",256,0
