layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 896, 896, 3]",2408448,float32,NaN,NaN,NaN,NaN,"[None, 896, 896, 3]",2408448,0
stem_conv,Conv2D,"[None, 896, 896, 3]",1,float32,32,"[3, 3]",linear,False,"[None, 448, 448, 32]",6422528,864
stem_bn,BatchNormalization,"[None, 448, 448, 32]",6422528,float32,NaN,NaN,NaN,NaN,"[None, 448, 448, 32]",6422528,128
stem_activation,Activation,"[None, 448, 448, 32]",6422528,float32,NaN,NaN,swish,NaN,"[None, 448, 448, 32]",6422528,0
block1a_dwconv,DepthwiseConv2D,"[None, 448, 448, 32]",6422528,float32,NaN,"[3, 3]",linear,False,"[None, 448, 448, 32]",6422528,288
block1a_bn,BatchNormalization,"[None, 448, 448, 32]",6422528,float32,NaN,NaN,NaN,NaN,"[None, 448, 448, 32]",6422528,128
block1a_activation,Activation,"[None, 448, 448, 32]",6422528,float32,NaN,NaN,swish,NaN,"[None, 448, 448, 32]",6422528,0
block1a_se_squeeze,GlobalAveragePooling2D,"[None, 448, 448, 32]",6422528,float32,NaN,NaN,NaN,NaN,"[None, 32]",32,0
block1a_se_reshape,Reshape,"[None, 32]",32,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 32]",32,0
block1a_se_reduce,Conv2D,"[None, 1, 1, 32]",32,float32,8,"[1, 1]",swish,True,"[None, 1, 1, 8]",8,264
block1a_se_expand,Conv2D,"[None, 1, 1, 8]",8,float32,32,"[1, 1]",sigmoid,True,"[None, 1, 1, 32]",32,288
block1a_se_excite,Multiply,"[None, 1, 1, 32]",32,float32,NaN,NaN,NaN,NaN,"[None, 448, 448, 32]",6422528,0
block1a_project_conv,Conv2D,"[None, 448, 448, 32]",6422528,float32,16,"[1, 1]",linear,False,"[None, 448, 448, 16]",3211264,512
block1a_project_bn,BatchNormalization,"[None, 448, 448, 16]",3211264,float32,NaN,NaN,NaN,NaN,"[None, 448, 448, 16]",3211264,64
block2a_expand_conv,Conv2D,"[None, 448, 448, 16]",3211264,float32,96,"[1, 1]",linear,False,"[None, 448, 448, 96]",19267584,1536
block2a_expand_bn,BatchNormalization,"[None, 448, 448, 96]",19267584,float32,NaN,NaN,NaN,NaN,"[None, 448, 448, 96]",19267584,384
block2a_expand_activation,Activation,"[None, 448, 448, 96]",19267584,float32,NaN,NaN,swish,NaN,"[None, 448, 448, 96]",19267584,0
block2a_dwconv,DepthwiseConv2D,"[None, 448, 448, 96]",19267584,float32,NaN,"[3, 3]",linear,False,"[None, 224, 224, 96]",4816896,864
block2a_bn,BatchNormalization,"[None, 224, 224, 96]",4816896,float32,NaN,NaN,NaN,NaN,"[None, 224, 224, 96]",4816896,384
block2a_activation,Activation,"[None, 224, 224, 96]",4816896,float32,NaN,NaN,swish,NaN,"[None, 224, 224, 96]",4816896,0
block2a_se_squeeze,GlobalAveragePooling2D,"[None, 224, 224, 96]",4816896,float32,NaN,NaN,NaN,NaN,"[None, 96]",96,0
block2a_se_reshape,Reshape,"[None, 96]",96,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 96]",96,0
block2a_se_reduce,Conv2D,"[None, 1, 1, 96]",96,float32,4,"[1, 1]",swish,True,"[None, 1, 1, 4]",4,388
block2a_se_expand,Conv2D,"[None, 1, 1, 4]",4,float32,96,"[1, 1]",sigmoid,True,"[None, 1, 1, 96]",96,480
block2a_se_excite,Multiply,"[None, 1, 1, 96]",96,float32,NaN,NaN,NaN,NaN,"[None, 224, 224, 96]",4816896,0
block2a_project_conv,Conv2D,"[None, 224, 224, 96]",4816896,float32,24,"[1, 1]",linear,False,"[None, 224, 224, 24]",1204224,2304
block2a_project_bn,BatchNormalization,"[None, 224, 224, 24]",1204224,float32,NaN,NaN,NaN,NaN,"[None, 224, 224, 24]",1204224,96
block2b_expand_conv,Conv2D,"[None, 224, 224, 24]",1204224,float32,144,"[1, 1]",linear,False,"[None, 224, 224, 144]",7225344,3456
block2b_expand_bn,BatchNormalization,"[None, 224, 224, 144]",7225344,float32,NaN,NaN,NaN,NaN,"[None, 224, 224, 144]",7225344,576
block2b_expand_activation,Activation,"[None, 224, 224, 144]",7225344,float32,NaN,NaN,swish,NaN,"[None, 224, 224, 144]",7225344,0
block2b_dwconv,DepthwiseConv2D,"[None, 224, 224, 144]",7225344,float32,NaN,"[3, 3]",linear,False,"[None, 224, 224, 144]",7225344,1296
block2b_bn,BatchNormalization,"[None, 224, 224, 144]",7225344,float32,NaN,NaN,NaN,NaN,"[None, 224, 224, 144]",7225344,576
block2b_activation,Activation,"[None, 224, 224, 144]",7225344,float32,NaN,NaN,swish,NaN,"[None, 224, 224, 144]",7225344,0
block2b_se_squeeze,GlobalAveragePooling2D,"[None, 224, 224, 144]",7225344,float32,NaN,NaN,NaN,NaN,"[None, 144]",144,0
block2b_se_reshape,Reshape,"[None, 144]",144,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 144]",144,0
block2b_se_reduce,Conv2D,"[None, 1, 1, 144]",144,float32,6,"[1, 1]",swish,True,"[None, 1, 1, 6]",6,870
block2b_se_expand,Conv2D,"[None, 1, 1, 6]",6,float32,144,"[1, 1]",sigmoid,True,"[None, 1, 1, 144]",144,1008
block2b_se_excite,Multiply,"[None, 1, 1, 144]",144,float32,NaN,NaN,NaN,NaN,"[None, 224, 224, 144]",7225344,0
block2b_project_conv,Conv2D,"[None, 224, 224, 144]",7225344,float32,24,"[1, 1]",linear,False,"[None, 224, 224, 24]",1204224,3456
block2b_project_bn,BatchNormalization,"[None, 224, 224, 24]",1204224,float32,NaN,NaN,NaN,NaN,"[None, 224, 224, 24]",1204224,96
block2b_drop,FixedDropout,"[None, 224, 224, 24]",1204224,float32,NaN,NaN,NaN,NaN,"[None, 224, 224, 24]",1204224,0
block2b_add,Add,"[None, 224, 224, 24]",1204224,float32,NaN,NaN,NaN,NaN,"[None, 224, 224, 24]",1204224,0
block3a_expand_conv,Conv2D,"[None, 224, 224, 24]",1204224,float32,144,"[1, 1]",linear,False,"[None, 224, 224, 144]",7225344,3456
block3a_expand_bn,BatchNormalization,"[None, 224, 224, 144]",7225344,float32,NaN,NaN,NaN,NaN,"[None, 224, 224, 144]",7225344,576
block3a_expand_activation,Activation,"[None, 224, 224, 144]",7225344,float32,NaN,NaN,swish,NaN,"[None, 224, 224, 144]",7225344,0
block3a_dwconv,DepthwiseConv2D,"[None, 224, 224, 144]",7225344,float32,NaN,"[5, 5]",linear,False,"[None, 112, 112, 144]",1806336,3600
block3a_bn,BatchNormalization,"[None, 112, 112, 144]",1806336,float32,NaN,NaN,NaN,NaN,"[None, 112, 112, 144]",1806336,576
block3a_activation,Activation,"[None, 112, 112, 144]",1806336,float32,NaN,NaN,swish,NaN,"[None, 112, 112, 144]",1806336,0
block3a_se_squeeze,GlobalAveragePooling2D,"[None, 112, 112, 144]",1806336,float32,NaN,NaN,NaN,NaN,"[None, 144]",144,0
block3a_se_reshape,Reshape,"[None, 144]",144,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 144]",144,0
block3a_se_reduce,Conv2D,"[None, 1, 1, 144]",144,float32,6,"[1, 1]",swish,True,"[None, 1, 1, 6]",6,870
block3a_se_expand,Conv2D,"[None, 1, 1, 6]",6,float32,144,"[1, 1]",sigmoid,True,"[None, 1, 1, 144]",144,1008
block3a_se_excite,Multiply,"[None, 1, 1, 144]",144,float32,NaN,NaN,NaN,NaN,"[None, 112, 112, 144]",1806336,0
block3a_project_conv,Conv2D,"[None, 112, 112, 144]",1806336,float32,40,"[1, 1]",linear,False,"[None, 112, 112, 40]",501760,5760
block3a_project_bn,BatchNormalization,"[None, 112, 112, 40]",501760,float32,NaN,NaN,NaN,NaN,"[None, 112, 112, 40]",501760,160
block3b_expand_conv,Conv2D,"[None, 112, 112, 40]",501760,float32,240,"[1, 1]",linear,False,"[None, 112, 112, 240]",3010560,9600
block3b_expand_bn,BatchNormalization,"[None, 112, 112, 240]",3010560,float32,NaN,NaN,NaN,NaN,"[None, 112, 112, 240]",3010560,960
block3b_expand_activation,Activation,"[None, 112, 112, 240]",3010560,float32,NaN,NaN,swish,NaN,"[None, 112, 112, 240]",3010560,0
block3b_dwconv,DepthwiseConv2D,"[None, 112, 112, 240]",3010560,float32,NaN,"[5, 5]",linear,False,"[None, 112, 112, 240]",3010560,6000
block3b_bn,BatchNormalization,"[None, 112, 112, 240]",3010560,float32,NaN,NaN,NaN,NaN,"[None, 112, 112, 240]",3010560,960
block3b_activation,Activation,"[None, 112, 112, 240]",3010560,float32,NaN,NaN,swish,NaN,"[None, 112, 112, 240]",3010560,0
block3b_se_squeeze,GlobalAveragePooling2D,"[None, 112, 112, 240]",3010560,float32,NaN,NaN,NaN,NaN,"[None, 240]",240,0
block3b_se_reshape,Reshape,"[None, 240]",240,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 240]",240,0
block3b_se_reduce,Conv2D,"[None, 1, 1, 240]",240,float32,10,"[1, 1]",swish,True,"[None, 1, 1, 10]",10,2410
block3b_se_expand,Conv2D,"[None, 1, 1, 10]",10,float32,240,"[1, 1]",sigmoid,True,"[None, 1, 1, 240]",240,2640
block3b_se_excite,Multiply,"[None, 1, 1, 240]",240,float32,NaN,NaN,NaN,NaN,"[None, 112, 112, 240]",3010560,0
block3b_project_conv,Conv2D,"[None, 112, 112, 240]",3010560,float32,40,"[1, 1]",linear,False,"[None, 112, 112, 40]",501760,9600
block3b_project_bn,BatchNormalization,"[None, 112, 112, 40]",501760,float32,NaN,NaN,NaN,NaN,"[None, 112, 112, 40]",501760,160
block3b_drop,FixedDropout,"[None, 112, 112, 40]",501760,float32,NaN,NaN,NaN,NaN,"[None, 112, 112, 40]",501760,0
block3b_add,Add,"[None, 112, 112, 40]",501760,float32,NaN,NaN,NaN,NaN,"[None, 112, 112, 40]",501760,0
block4a_expand_conv,Conv2D,"[None, 112, 112, 40]",501760,float32,240,"[1, 1]",linear,False,"[None, 112, 112, 240]",3010560,9600
block4a_expand_bn,BatchNormalization,"[None, 112, 112, 240]",3010560,float32,NaN,NaN,NaN,NaN,"[None, 112, 112, 240]",3010560,960
block4a_expand_activation,Activation,"[None, 112, 112, 240]",3010560,float32,NaN,NaN,swish,NaN,"[None, 112, 112, 240]",3010560,0
block4a_dwconv,DepthwiseConv2D,"[None, 112, 112, 240]",3010560,float32,NaN,"[3, 3]",linear,False,"[None, 56, 56, 240]",752640,2160
block4a_bn,BatchNormalization,"[None, 56, 56, 240]",752640,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 240]",752640,960
block4a_activation,Activation,"[None, 56, 56, 240]",752640,float32,NaN,NaN,swish,NaN,"[None, 56, 56, 240]",752640,0
block4a_se_squeeze,GlobalAveragePooling2D,"[None, 56, 56, 240]",752640,float32,NaN,NaN,NaN,NaN,"[None, 240]",240,0
block4a_se_reshape,Reshape,"[None, 240]",240,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 240]",240,0
block4a_se_reduce,Conv2D,"[None, 1, 1, 240]",240,float32,10,"[1, 1]",swish,True,"[None, 1, 1, 10]",10,2410
block4a_se_expand,Conv2D,"[None, 1, 1, 10]",10,float32,240,"[1, 1]",sigmoid,True,"[None, 1, 1, 240]",240,2640
block4a_se_excite,Multiply,"[None, 1, 1, 240]",240,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 240]",752640,0
block4a_project_conv,Conv2D,"[None, 56, 56, 240]",752640,float32,80,"[1, 1]",linear,False,"[None, 56, 56, 80]",250880,19200
block4a_project_bn,BatchNormalization,"[None, 56, 56, 80]",250880,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 80]",250880,320
block4b_expand_conv,Conv2D,"[None, 56, 56, 80]",250880,float32,480,"[1, 1]",linear,False,"[None, 56, 56, 480]",1505280,38400
block4b_expand_bn,BatchNormalization,"[None, 56, 56, 480]",1505280,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 480]",1505280,1920
block4b_expand_activation,Activation,"[None, 56, 56, 480]",1505280,float32,NaN,NaN,swish,NaN,"[None, 56, 56, 480]",1505280,0
block4b_dwconv,DepthwiseConv2D,"[None, 56, 56, 480]",1505280,float32,NaN,"[3, 3]",linear,False,"[None, 56, 56, 480]",1505280,4320
block4b_bn,BatchNormalization,"[None, 56, 56, 480]",1505280,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 480]",1505280,1920
block4b_activation,Activation,"[None, 56, 56, 480]",1505280,float32,NaN,NaN,swish,NaN,"[None, 56, 56, 480]",1505280,0
block4b_se_squeeze,GlobalAveragePooling2D,"[None, 56, 56, 480]",1505280,float32,NaN,NaN,NaN,NaN,"[None, 480]",480,0
block4b_se_reshape,Reshape,"[None, 480]",480,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 480]",480,0
block4b_se_reduce,Conv2D,"[None, 1, 1, 480]",480,float32,20,"[1, 1]",swish,True,"[None, 1, 1, 20]",20,9620
block4b_se_expand,Conv2D,"[None, 1, 1, 20]",20,float32,480,"[1, 1]",sigmoid,True,"[None, 1, 1, 480]",480,10080
block4b_se_excite,Multiply,"[None, 1, 1, 480]",480,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 480]",1505280,0
block4b_project_conv,Conv2D,"[None, 56, 56, 480]",1505280,float32,80,"[1, 1]",linear,False,"[None, 56, 56, 80]",250880,38400
block4b_project_bn,BatchNormalization,"[None, 56, 56, 80]",250880,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 80]",250880,320
block4b_drop,FixedDropout,"[None, 56, 56, 80]",250880,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 80]",250880,0
block4b_add,Add,"[None, 56, 56, 80]",250880,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 80]",250880,0
block4c_expand_conv,Conv2D,"[None, 56, 56, 80]",250880,float32,480,"[1, 1]",linear,False,"[None, 56, 56, 480]",1505280,38400
block4c_expand_bn,BatchNormalization,"[None, 56, 56, 480]",1505280,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 480]",1505280,1920
block4c_expand_activation,Activation,"[None, 56, 56, 480]",1505280,float32,NaN,NaN,swish,NaN,"[None, 56, 56, 480]",1505280,0
block4c_dwconv,DepthwiseConv2D,"[None, 56, 56, 480]",1505280,float32,NaN,"[3, 3]",linear,False,"[None, 56, 56, 480]",1505280,4320
block4c_bn,BatchNormalization,"[None, 56, 56, 480]",1505280,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 480]",1505280,1920
block4c_activation,Activation,"[None, 56, 56, 480]",1505280,float32,NaN,NaN,swish,NaN,"[None, 56, 56, 480]",1505280,0
block4c_se_squeeze,GlobalAveragePooling2D,"[None, 56, 56, 480]",1505280,float32,NaN,NaN,NaN,NaN,"[None, 480]",480,0
block4c_se_reshape,Reshape,"[None, 480]",480,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 480]",480,0
block4c_se_reduce,Conv2D,"[None, 1, 1, 480]",480,float32,20,"[1, 1]",swish,True,"[None, 1, 1, 20]",20,9620
block4c_se_expand,Conv2D,"[None, 1, 1, 20]",20,float32,480,"[1, 1]",sigmoid,True,"[None, 1, 1, 480]",480,10080
block4c_se_excite,Multiply,"[None, 1, 1, 480]",480,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 480]",1505280,0
block4c_project_conv,Conv2D,"[None, 56, 56, 480]",1505280,float32,80,"[1, 1]",linear,False,"[None, 56, 56, 80]",250880,38400
block4c_project_bn,BatchNormalization,"[None, 56, 56, 80]",250880,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 80]",250880,320
block4c_drop,FixedDropout,"[None, 56, 56, 80]",250880,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 80]",250880,0
block4c_add,Add,"[None, 56, 56, 80]",250880,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 80]",250880,0
block5a_expand_conv,Conv2D,"[None, 56, 56, 80]",250880,float32,480,"[1, 1]",linear,False,"[None, 56, 56, 480]",1505280,38400
block5a_expand_bn,BatchNormalization,"[None, 56, 56, 480]",1505280,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 480]",1505280,1920
block5a_expand_activation,Activation,"[None, 56, 56, 480]",1505280,float32,NaN,NaN,swish,NaN,"[None, 56, 56, 480]",1505280,0
block5a_dwconv,DepthwiseConv2D,"[None, 56, 56, 480]",1505280,float32,NaN,"[5, 5]",linear,False,"[None, 56, 56, 480]",1505280,12000
block5a_bn,BatchNormalization,"[None, 56, 56, 480]",1505280,float32,NaN,NaN,NaN,NaN,"[None, 56, 56, 480]",1505280,1920
block5a_activation,Activation,"[None, 56, 56, 480]",1505280,float32,NaN,NaN,swish,NaN,"[None, 56, 56, 480]",1505280,0
