layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 150, 150, 3]",67500,float32,NaN,NaN,NaN,NaN,"[None, 150, 150, 3]",67500,0
conv2d_1,Conv2D,"[None, 150, 150, 3]",1,float32,32,"[3, 3]",linear,False,"[None, 74, 74, 32]",175232,864
batch_normalization_1,BatchNormalization,"[None, 74, 74, 32]",175232,float32,NaN,NaN,NaN,NaN,"[None, 74, 74, 32]",175232,96
activation_1,Activation,"[None, 74, 74, 32]",175232,float32,NaN,NaN,relu,NaN,"[None, 74, 74, 32]",175232,0
conv2d_2,Conv2D,"[None, 74, 74, 32]",175232,float32,32,"[3, 3]",linear,False,"[None, 72, 72, 32]",165888,9216
batch_normalization_2,BatchNormalization,"[None, 72, 72, 32]",165888,float32,NaN,NaN,NaN,NaN,"[None, 72, 72, 32]",165888,96
activation_2,Activation,"[None, 72, 72, 32]",165888,float32,NaN,NaN,relu,NaN,"[None, 72, 72, 32]",165888,0
conv2d_3,Conv2D,"[None, 72, 72, 32]",165888,float32,64,"[3, 3]",linear,False,"[None, 72, 72, 64]",331776,18432
batch_normalization_3,BatchNormalization,"[None, 72, 72, 64]",331776,float32,NaN,NaN,NaN,NaN,"[None, 72, 72, 64]",331776,192
activation_3,Activation,"[None, 72, 72, 64]",331776,float32,NaN,NaN,relu,NaN,"[None, 72, 72, 64]",331776,0
max_pooling2d_1,MaxPooling2D,"[None, 72, 72, 64]",331776,float32,NaN,NaN,NaN,NaN,"[None, 35, 35, 64]",78400,0
conv2d_4,Conv2D,"[None, 35, 35, 64]",78400,float32,80,"[1, 1]",linear,False,"[None, 35, 35, 80]",98000,5120
batch_normalization_4,BatchNormalization,"[None, 35, 35, 80]",98000,float32,NaN,NaN,NaN,NaN,"[None, 35, 35, 80]",98000,240
activation_4,Activation,"[None, 35, 35, 80]",98000,float32,NaN,NaN,relu,NaN,"[None, 35, 35, 80]",98000,0
conv2d_5,Conv2D,"[None, 35, 35, 80]",98000,float32,192,"[3, 3]",linear,False,"[None, 33, 33, 192]",209088,138240
batch_normalization_5,BatchNormalization,"[None, 33, 33, 192]",209088,float32,NaN,NaN,NaN,NaN,"[None, 33, 33, 192]",209088,576
activation_5,Activation,"[None, 33, 33, 192]",209088,float32,NaN,NaN,relu,NaN,"[None, 33, 33, 192]",209088,0
max_pooling2d_2,MaxPooling2D,"[None, 33, 33, 192]",209088,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 192]",49152,0
conv2d_9,Conv2D,"[None, 16, 16, 192]",49152,float32,64,"[1, 1]",linear,False,"[None, 16, 16, 64]",16384,12288
batch_normalization_9,BatchNormalization,"[None, 16, 16, 64]",16384,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 64]",16384,192
activation_9,Activation,"[None, 16, 16, 64]",16384,float32,NaN,NaN,relu,NaN,"[None, 16, 16, 64]",16384,0
conv2d_7,Conv2D,"[None, 16, 16, 64]",16384,float32,48,"[1, 1]",linear,False,"[None, 16, 16, 48]",12288,9216
conv2d_10,Conv2D,"[None, 16, 16, 48]",12288,float32,96,"[3, 3]",linear,False,"[None, 16, 16, 96]",24576,55296
batch_normalization_7,BatchNormalization,"[None, 16, 16, 96]",24576,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 48]",12288,144
batch_normalization_10,BatchNormalization,"[None, 16, 16, 48]",12288,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 96]",24576,288
activation_7,Activation,"[None, 16, 16, 96]",24576,float32,NaN,NaN,relu,NaN,"[None, 16, 16, 48]",12288,0
activation_10,Activation,"[None, 16, 16, 48]",12288,float32,NaN,NaN,relu,NaN,"[None, 16, 16, 96]",24576,0
average_pooling2d_1,AveragePooling2D,"[None, 16, 16, 96]",24576,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 192]",49152,0
conv2d_6,Conv2D,"[None, 16, 16, 192]",49152,float32,96,"[1, 1]",linear,False,"[None, 16, 16, 96]",24576,18432
conv2d_8,Conv2D,"[None, 16, 16, 96]",24576,float32,64,"[5, 5]",linear,False,"[None, 16, 16, 64]",16384,76800
conv2d_11,Conv2D,"[None, 16, 16, 64]",16384,float32,96,"[3, 3]",linear,False,"[None, 16, 16, 96]",24576,82944
conv2d_12,Conv2D,"[None, 16, 16, 96]",24576,float32,64,"[1, 1]",linear,False,"[None, 16, 16, 64]",16384,12288
batch_normalization_6,BatchNormalization,"[None, 16, 16, 64]",16384,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 96]",24576,288
