layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 256, 256, 3]",196608,float32,NaN,NaN,NaN,NaN,"[None, 256, 256, 3]",196608,0
stem_conv1,Conv2D,"[None, 256, 256, 3]",1,float32,96,"[3, 3]",linear,False,"[None, 127, 127, 96]",1548384,2592
stem_bn1,BatchNormalization,"[None, 127, 127, 96]",1548384,float32,NaN,NaN,NaN,NaN,"[None, 127, 127, 96]",1548384,384
activation_1,Activation,"[None, 127, 127, 96]",1548384,float32,NaN,NaN,relu,NaN,"[None, 127, 127, 96]",1548384,0
reduction_conv_1_stem_1,Conv2D,"[None, 127, 127, 96]",1548384,float32,42,"[1, 1]",linear,False,"[None, 127, 127, 42]",677418,4032
reduction_bn_1_stem_1,BatchNormalization,"[None, 127, 127, 42]",677418,float32,NaN,NaN,NaN,NaN,"[None, 127, 127, 42]",677418,168
activation_2,Activation,"[None, 127, 127, 42]",677418,float32,NaN,NaN,relu,NaN,"[None, 127, 127, 42]",677418,0
activation_4,Activation,"[None, 127, 127, 42]",677418,float32,NaN,NaN,relu,NaN,"[None, 127, 127, 96]",1548384,0
separable_conv_1_pad_reduction_left1_stem_1,ZeroPadding2D,"[None, 127, 127, 96]",1548384,float32,NaN,NaN,NaN,NaN,"[None, 131, 131, 42]",720762,0
separable_conv_1_pad_reduction_right1_stem_1,ZeroPadding2D,"[None, 131, 131, 42]",720762,float32,NaN,NaN,NaN,NaN,"[None, 133, 133, 96]",1698144,0
separable_conv_1_reduction_left1_stem_1,SeparableConv2D,"[None, 133, 133, 96]",1698144,float32,42,"[5, 5]",linear,False,"[None, 64, 64, 42]",172032,2814
separable_conv_1_reduction_right1_stem_1,SeparableConv2D,"[None, 64, 64, 42]",172032,float32,42,"[7, 7]",linear,False,"[None, 64, 64, 42]",172032,8736
separable_conv_1_bn_reduction_left1_stem_1,BatchNormalization,"[None, 64, 64, 42]",172032,float32,NaN,NaN,NaN,NaN,"[None, 64, 64, 42]",172032,168
separable_conv_1_bn_reduction_right1_stem_1,BatchNormalization,"[None, 64, 64, 42]",172032,float32,NaN,NaN,NaN,NaN,"[None, 64, 64, 42]",172032,168
activation_3,Activation,"[None, 64, 64, 42]",172032,float32,NaN,NaN,relu,NaN,"[None, 64, 64, 42]",172032,0
activation_5,Activation,"[None, 64, 64, 42]",172032,float32,NaN,NaN,relu,NaN,"[None, 64, 64, 42]",172032,0
separable_conv_2_reduction_left1_stem_1,SeparableConv2D,"[None, 64, 64, 42]",172032,float32,42,"[5, 5]",linear,False,"[None, 64, 64, 42]",172032,2814
separable_conv_2_reduction_right1_stem_1,SeparableConv2D,"[None, 64, 64, 42]",172032,float32,42,"[7, 7]",linear,False,"[None, 64, 64, 42]",172032,3822
activation_6,Activation,"[None, 64, 64, 42]",172032,float32,NaN,NaN,relu,NaN,"[None, 127, 127, 96]",1548384,0
separable_conv_2_bn_reduction_left1_stem_1,BatchNormalization,"[None, 127, 127, 96]",1548384,float32,NaN,NaN,NaN,NaN,"[None, 64, 64, 42]",172032,168
separable_conv_2_bn_reduction_right1_stem_1,BatchNormalization,"[None, 64, 64, 42]",172032,float32,NaN,NaN,NaN,NaN,"[None, 64, 64, 42]",172032,168
separable_conv_1_pad_reduction_right2_stem_1,ZeroPadding2D,"[None, 64, 64, 42]",172032,float32,NaN,NaN,NaN,NaN,"[None, 133, 133, 96]",1698144,0
activation_8,Activation,"[None, 133, 133, 96]",1698144,float32,NaN,NaN,relu,NaN,"[None, 127, 127, 96]",1548384,0
reduction_add_1_stem_1,Add,"[None, 127, 127, 96]",1548384,float32,NaN,NaN,NaN,NaN,"[None, 64, 64, 42]",172032,0
separable_conv_1_reduction_right2_stem_1,SeparableConv2D,"[None, 64, 64, 42]",172032,float32,42,"[7, 7]",linear,False,"[None, 64, 64, 42]",172032,8736
separable_conv_1_pad_reduction_right3_stem_1,ZeroPadding2D,"[None, 64, 64, 42]",172032,float32,NaN,NaN,NaN,NaN,"[None, 131, 131, 96]",1647456,0
activation_10,Activation,"[None, 131, 131, 96]",1647456,float32,NaN,NaN,relu,NaN,"[None, 64, 64, 42]",172032,0
separable_conv_1_bn_reduction_right2_stem_1,BatchNormalization,"[None, 64, 64, 42]",172032,float32,NaN,NaN,NaN,NaN,"[None, 64, 64, 42]",172032,168
separable_conv_1_reduction_right3_stem_1,SeparableConv2D,"[None, 64, 64, 42]",172032,float32,42,"[5, 5]",linear,False,"[None, 64, 64, 42]",172032,6432
