layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 32, 32, 3]",3072,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 3]",3072,0
zero_padding2d_1,ZeroPadding2D,"[None, 32, 32, 3]",1,float32,NaN,NaN,NaN,NaN,"[None, 34, 34, 3]",3468,0
conv2d_1,Conv2D,"[None, 34, 34, 3]",3468,float32,64,"[3, 3]",linear,False,"[None, 16, 16, 64]",16384,1728
batch_normalization_1,BatchNormalization,"[None, 16, 16, 64]",16384,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 64]",16384,256
activation_1,Activation,"[None, 16, 16, 64]",16384,float32,NaN,NaN,relu,NaN,"[None, 16, 16, 64]",16384,0
zero_padding2d_2,ZeroPadding2D,"[None, 16, 16, 64]",16384,float32,NaN,NaN,NaN,NaN,"[None, 18, 18, 64]",20736,0
conv2d_2,Conv2D,"[None, 18, 18, 64]",20736,float32,64,"[3, 3]",linear,False,"[None, 16, 16, 64]",16384,36864
batch_normalization_2,BatchNormalization,"[None, 16, 16, 64]",16384,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 64]",16384,256
activation_2,Activation,"[None, 16, 16, 64]",16384,float32,NaN,NaN,relu,NaN,"[None, 16, 16, 64]",16384,0
zero_padding2d_3,ZeroPadding2D,"[None, 16, 16, 64]",16384,float32,NaN,NaN,NaN,NaN,"[None, 18, 18, 64]",20736,0
conv2d_3,Conv2D,"[None, 18, 18, 64]",20736,float32,128,"[3, 3]",linear,False,"[None, 16, 16, 128]",32768,73728
batch_normalization_3,BatchNormalization,"[None, 16, 16, 128]",32768,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 128]",32768,512
activation_3,Activation,"[None, 16, 16, 128]",32768,float32,NaN,NaN,relu,NaN,"[None, 16, 16, 128]",32768,0
zero_padding2d_4,ZeroPadding2D,"[None, 16, 16, 128]",32768,float32,NaN,NaN,NaN,NaN,"[None, 18, 18, 128]",41472,0
max_pooling2d_1,MaxPooling2D,"[None, 18, 18, 128]",41472,float32,NaN,NaN,NaN,NaN,"[None, 8, 8, 128]",8192,0
conv2d_4,Conv2D,"[None, 8, 8, 128]",8192,float32,128,"[1, 1]",linear,False,"[None, 8, 8, 128]",8192,16384
batch_normalization_4,BatchNormalization,"[None, 8, 8, 128]",8192,float32,NaN,NaN,NaN,NaN,"[None, 8, 8, 128]",8192,512
activation_4,Activation,"[None, 8, 8, 128]",8192,float32,NaN,NaN,relu,NaN,"[None, 8, 8, 128]",8192,0
zero_padding2d_5,ZeroPadding2D,"[None, 8, 8, 128]",8192,float32,NaN,NaN,NaN,NaN,"[None, 10, 10, 128]",12800,0
lambda_1,Lambda,"[None, 10, 10, 128]",12800,float32,NaN,NaN,NaN,NaN,"[None, 10, 10, 2]",200,0
lambda_2,Lambda,"[None, 10, 10, 2]",200,float32,NaN,NaN,NaN,NaN,"[None, 10, 10, 2]",200,0
lambda_3,Lambda,"[None, 10, 10, 2]",200,float32,NaN,NaN,NaN,NaN,"[None, 10, 10, 2]",200,0
lambda_4,Lambda,"[None, 10, 10, 2]",200,float32,NaN,NaN,NaN,NaN,"[None, 10, 10, 2]",200,0
lambda_5,Lambda,"[None, 10, 10, 2]",200,float32,NaN,NaN,NaN,NaN,"[None, 10, 10, 2]",200,0
