layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 568, 568, 3]",967872,float32,NaN,NaN,NaN,NaN,"[None, 568, 568, 3]",967872,0
conv1,Conv2D,"[None, 568, 568, 3]",1,float32,12,"[3, 3]",relu,False,"[None, 284, 284, 12]",967872,324
maxpool1,MaxPooling2D,"[None, 284, 284, 12]",967872,float32,NaN,NaN,NaN,NaN,"[None, 142, 142, 12]",241968,0
stage2/block1/1x1_gconv_1,Conv2D,"[None, 142, 142, 12]",241968,float32,72,"[1, 1]",linear,False,"[None, 142, 142, 72]",1451808,864
stage2/block1/bn_gconv_1,BatchNormalization,"[None, 142, 142, 72]",1451808,float32,NaN,NaN,NaN,NaN,"[None, 142, 142, 72]",1451808,288
stage2/block1/relu_gconv_1,Activation,"[None, 142, 142, 72]",1451808,float32,NaN,NaN,relu,NaN,"[None, 142, 142, 72]",1451808,0
stage2/block1/channel_shuffle,Lambda,"[None, 142, 142, 72]",1451808,float32,NaN,NaN,NaN,NaN,"[None, 142, 142, 72]",1451808,0
stage2/block1/1x1_dwconv_1,DepthwiseConv2D,"[None, 142, 142, 72]",1451808,float32,NaN,"[3, 3]",linear,False,"[None, 71, 71, 72]",362952,648
stage2/block1/bn_dwconv_1,BatchNormalization,"[None, 71, 71, 72]",362952,float32,NaN,NaN,NaN,NaN,"[None, 71, 71, 72]",362952,288
stage2/block1/1x1_gconv_2,Conv2D,"[None, 71, 71, 72]",362952,float32,60,"[1, 1]",linear,False,"[None, 71, 71, 60]",302460,4320
stage2/block1/bn_gconv_2,BatchNormalization,"[None, 71, 71, 60]",302460,float32,NaN,NaN,NaN,NaN,"[None, 71, 71, 60]",302460,240
stage2/block1/avg_pool,AveragePooling2D,"[None, 71, 71, 60]",302460,float32,NaN,NaN,NaN,NaN,"[None, 71, 71, 12]",60492,0
stage2/block1/concat,Concatenate,"[None, 71, 71, 12]",60492,float32,NaN,NaN,NaN,NaN,"[None, 71, 71, 72]",362952,0
stage2/block1/relu_out,Activation,"[None, 71, 71, 72]",362952,float32,NaN,NaN,relu,NaN,"[None, 71, 71, 72]",362952,0
stage2/block2/1x1_gconv_1,Conv2D,"[None, 71, 71, 72]",362952,float32,72,"[1, 1]",linear,False,"[None, 71, 71, 72]",362952,5184
