layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 331, 331, 3]",328683,float32,NaN,NaN,NaN,NaN,"[None, 331, 331, 3]",328683,0
block1_conv1,Conv2D,"[None, 331, 331, 3]",1,float32,64,"[3, 3]",relu,True,"[None, 331, 331, 64]",7011904,1792
block1_conv2,Conv2D,"[None, 331, 331, 64]",7011904,float32,64,"[3, 3]",relu,True,"[None, 331, 331, 64]",7011904,36928
block1_pool,MaxPooling2D,"[None, 331, 331, 64]",7011904,float32,NaN,NaN,NaN,NaN,"[None, 165, 165, 64]",1742400,0
block2_conv1,Conv2D,"[None, 165, 165, 64]",1742400,float32,128,"[3, 3]",relu,True,"[None, 165, 165, 128]",3484800,73856
block2_conv2,Conv2D,"[None, 165, 165, 128]",3484800,float32,128,"[3, 3]",relu,True,"[None, 165, 165, 128]",3484800,147584
block2_pool,MaxPooling2D,"[None, 165, 165, 128]",3484800,float32,NaN,NaN,NaN,NaN,"[None, 82, 82, 128]",860672,0
block3_conv1,Conv2D,"[None, 82, 82, 128]",860672,float32,256,"[3, 3]",relu,True,"[None, 82, 82, 256]",1721344,295168
block3_conv2,Conv2D,"[None, 82, 82, 256]",1721344,float32,256,"[3, 3]",relu,True,"[None, 82, 82, 256]",1721344,590080
block3_conv3,Conv2D,"[None, 82, 82, 256]",1721344,float32,256,"[3, 3]",relu,True,"[None, 82, 82, 256]",1721344,590080
block3_pool,MaxPooling2D,"[None, 82, 82, 256]",1721344,float32,NaN,NaN,NaN,NaN,"[None, 41, 41, 256]",430336,0
block4_conv1,Conv2D,"[None, 41, 41, 256]",430336,float32,512,"[3, 3]",relu,True,"[None, 41, 41, 512]",860672,1180160
block4_conv2,Conv2D,"[None, 41, 41, 512]",860672,float32,512,"[3, 3]",relu,True,"[None, 41, 41, 512]",860672,2359808
block4_conv3,Conv2D,"[None, 41, 41, 512]",860672,float32,512,"[3, 3]",relu,True,"[None, 41, 41, 512]",860672,2359808
block4_pool,MaxPooling2D,"[None, 41, 41, 512]",860672,float32,NaN,NaN,NaN,NaN,"[None, 20, 20, 512]",204800,0
block5_conv1,Conv2D,"[None, 20, 20, 512]",204800,float32,512,"[3, 3]",relu,True,"[None, 20, 20, 512]",204800,2359808
block5_conv2,Conv2D,"[None, 20, 20, 512]",204800,float32,512,"[3, 3]",relu,True,"[None, 20, 20, 512]",204800,2359808
block5_conv3,Conv2D,"[None, 20, 20, 512]",204800,float32,512,"[3, 3]",relu,True,"[None, 20, 20, 512]",204800,2359808
block5_pool,MaxPooling2D,"[None, 20, 20, 512]",204800,float32,NaN,NaN,NaN,NaN,"[None, 10, 10, 512]",51200,0
flatten,Flatten,"[None, 10, 10, 512]",51200,float32,NaN,NaN,NaN,NaN,"[None, 51200]",51200,0
fc1,Dense,"[None, 51200]",51200,float32,NaN,NaN,relu,True,"[None, 4096]",4096,209719296
fc2,Dense,"[None, 4096]",4096,float32,NaN,NaN,relu,True,"[None, 4096]",4096,16781312
predictions,Dense,"[None, 4096]",4096,float32,NaN,NaN,softmax,True,"[None, 1000]",1000,4097000
