layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 256, 256, 3]",196608,float32,NaN,NaN,NaN,NaN,"[None, 256, 256, 3]",196608,0
block1_conv1,Conv2D,"[None, 256, 256, 3]",1,float32,32,"[3, 3]",linear,False,"[None, 127, 127, 32]",516128,864
block1_conv1_bn,BatchNormalization,"[None, 127, 127, 32]",516128,float32,NaN,NaN,NaN,NaN,"[None, 127, 127, 32]",516128,128
block1_conv1_act,Activation,"[None, 127, 127, 32]",516128,float32,NaN,NaN,relu,NaN,"[None, 127, 127, 32]",516128,0
block1_conv2,Conv2D,"[None, 127, 127, 32]",516128,float32,64,"[3, 3]",linear,False,"[None, 125, 125, 64]",1000000,18432
block1_conv2_bn,BatchNormalization,"[None, 125, 125, 64]",1000000,float32,NaN,NaN,NaN,NaN,"[None, 125, 125, 64]",1000000,256
block1_conv2_act,Activation,"[None, 125, 125, 64]",1000000,float32,NaN,NaN,relu,NaN,"[None, 125, 125, 64]",1000000,0
block2_sepconv1,SeparableConv2D,"[None, 125, 125, 64]",1000000,float32,128,"[3, 3]",linear,False,"[None, 125, 125, 128]",2000000,8768
block2_sepconv1_bn,BatchNormalization,"[None, 125, 125, 128]",2000000,float32,NaN,NaN,NaN,NaN,"[None, 125, 125, 128]",2000000,512
block2_sepconv2_act,Activation,"[None, 125, 125, 128]",2000000,float32,NaN,NaN,relu,NaN,"[None, 125, 125, 128]",2000000,0
block2_sepconv2,SeparableConv2D,"[None, 125, 125, 128]",2000000,float32,128,"[3, 3]",linear,False,"[None, 125, 125, 128]",2000000,17536
block2_sepconv2_bn,BatchNormalization,"[None, 125, 125, 128]",2000000,float32,NaN,NaN,NaN,NaN,"[None, 125, 125, 128]",2000000,512
conv2d_1,Conv2D,"[None, 125, 125, 128]",2000000,float32,128,"[1, 1]",linear,False,"[None, 63, 63, 128]",508032,8192
block2_pool,MaxPooling2D,"[None, 63, 63, 128]",508032,float32,NaN,NaN,NaN,NaN,"[None, 63, 63, 128]",508032,0
batch_normalization_1,BatchNormalization,"[None, 63, 63, 128]",508032,float32,NaN,NaN,NaN,NaN,"[None, 63, 63, 128]",508032,512
add_1,Add,"[None, 63, 63, 128]",508032,float32,NaN,NaN,NaN,NaN,"[None, 63, 63, 128]",508032,0
block3_sepconv1_act,Activation,"[None, 63, 63, 128]",508032,float32,NaN,NaN,relu,NaN,"[None, 63, 63, 128]",508032,0
block3_sepconv1,SeparableConv2D,"[None, 63, 63, 128]",508032,float32,256,"[3, 3]",linear,False,"[None, 63, 63, 256]",1016064,33920
block3_sepconv1_bn,BatchNormalization,"[None, 63, 63, 256]",1016064,float32,NaN,NaN,NaN,NaN,"[None, 63, 63, 256]",1016064,1024
block3_sepconv2_act,Activation,"[None, 63, 63, 256]",1016064,float32,NaN,NaN,relu,NaN,"[None, 63, 63, 256]",1016064,0
block3_sepconv2,SeparableConv2D,"[None, 63, 63, 256]",1016064,float32,256,"[3, 3]",linear,False,"[None, 63, 63, 256]",1016064,67840
block3_sepconv2_bn,BatchNormalization,"[None, 63, 63, 256]",1016064,float32,NaN,NaN,NaN,NaN,"[None, 63, 63, 256]",1016064,1024
conv2d_2,Conv2D,"[None, 63, 63, 256]",1016064,float32,256,"[1, 1]",linear,False,"[None, 32, 32, 256]",262144,32768
block3_pool,MaxPooling2D,"[None, 32, 32, 256]",262144,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 256]",262144,0
batch_normalization_2,BatchNormalization,"[None, 32, 32, 256]",262144,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 256]",262144,1024
add_2,Add,"[None, 32, 32, 256]",262144,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 256]",262144,0
block4_sepconv1_act,Activation,"[None, 32, 32, 256]",262144,float32,NaN,NaN,relu,NaN,"[None, 32, 32, 256]",262144,0
block4_sepconv1,SeparableConv2D,"[None, 32, 32, 256]",262144,float32,728,"[3, 3]",linear,False,"[None, 32, 32, 728]",745472,188672
block4_sepconv1_bn,BatchNormalization,"[None, 32, 32, 728]",745472,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 728]",745472,2912
block4_sepconv2_act,Activation,"[None, 32, 32, 728]",745472,float32,NaN,NaN,relu,NaN,"[None, 32, 32, 728]",745472,0
block4_sepconv2,SeparableConv2D,"[None, 32, 32, 728]",745472,float32,728,"[3, 3]",linear,False,"[None, 32, 32, 728]",745472,536536
block4_sepconv2_bn,BatchNormalization,"[None, 32, 32, 728]",745472,float32,NaN,NaN,NaN,NaN,"[None, 32, 32, 728]",745472,2912
conv2d_3,Conv2D,"[None, 32, 32, 728]",745472,float32,728,"[1, 1]",linear,False,"[None, 16, 16, 728]",186368,186368
block4_pool,MaxPooling2D,"[None, 16, 16, 728]",186368,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 728]",186368,0
batch_normalization_3,BatchNormalization,"[None, 16, 16, 728]",186368,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 728]",186368,2912
add_3,Add,"[None, 16, 16, 728]",186368,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 728]",186368,0
block5_sepconv1_act,Activation,"[None, 16, 16, 728]",186368,float32,NaN,NaN,relu,NaN,"[None, 16, 16, 728]",186368,0
block5_sepconv1,SeparableConv2D,"[None, 16, 16, 728]",186368,float32,728,"[3, 3]",linear,False,"[None, 16, 16, 728]",186368,536536
block5_sepconv1_bn,BatchNormalization,"[None, 16, 16, 728]",186368,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 728]",186368,2912
block5_sepconv2_act,Activation,"[None, 16, 16, 728]",186368,float32,NaN,NaN,relu,NaN,"[None, 16, 16, 728]",186368,0
block5_sepconv2,SeparableConv2D,"[None, 16, 16, 728]",186368,float32,728,"[3, 3]",linear,False,"[None, 16, 16, 728]",186368,536536
block5_sepconv2_bn,BatchNormalization,"[None, 16, 16, 728]",186368,float32,NaN,NaN,NaN,NaN,"[None, 16, 16, 728]",186368,2912
