layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 240, 240, 3]",172800,float32,NaN,NaN,NaN,NaN,"[None, 240, 240, 3]",172800,0
stem_conv,Conv2D,"[None, 240, 240, 3]",172800,float32,32,"[3, 3]",linear,False,"[None, 120, 120, 32]",460800,864
stem_bn,BatchNormalization,"[None, 120, 120, 32]",460800,float32,NaN,NaN,NaN,NaN,"[None, 120, 120, 32]",460800,128
stem_activation,Activation,"[None, 120, 120, 32]",460800,float32,NaN,NaN,swish,NaN,"[None, 120, 120, 32]",460800,0
block1a_dwconv,DepthwiseConv2D,"[None, 120, 120, 32]",460800,float32,NaN,"[3, 3]",linear,False,"[None, 120, 120, 32]",460800,288
block1a_bn,BatchNormalization,"[None, 120, 120, 32]",460800,float32,NaN,NaN,NaN,NaN,"[None, 120, 120, 32]",460800,128
block1a_activation,Activation,"[None, 120, 120, 32]",460800,float32,NaN,NaN,swish,NaN,"[None, 120, 120, 32]",460800,0
block1a_se_squeeze,GlobalAveragePooling2D,"[None, 120, 120, 32]",460800,float32,NaN,NaN,NaN,NaN,"[None, 32]",32,0
block1a_se_reshape,Reshape,"[None, 32]",32,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 32]",32,0
block1a_se_reduce,Conv2D,"[None, 1, 1, 32]",32,float32,8,"[1, 1]",swish,True,"[None, 1, 1, 8]",8,264
block1a_se_expand,Conv2D,"[None, 1, 1, 8]",8,float32,32,"[1, 1]",sigmoid,True,"[None, 1, 1, 32]",32,288
block1a_se_excite,Multiply,"[None, 1, 1, 32]",32,float32,NaN,NaN,NaN,NaN,"[None, 120, 120, 32]",460800,0
block1a_project_conv,Conv2D,"[None, 120, 120, 32]",460800,float32,16,"[1, 1]",linear,False,"[None, 120, 120, 16]",230400,512
block1a_project_bn,BatchNormalization,"[None, 120, 120, 16]",230400,float32,NaN,NaN,NaN,NaN,"[None, 120, 120, 16]",230400,64
block1b_dwconv,DepthwiseConv2D,"[None, 120, 120, 16]",230400,float32,NaN,"[3, 3]",linear,False,"[None, 120, 120, 16]",230400,144
block1b_bn,BatchNormalization,"[None, 120, 120, 16]",230400,float32,NaN,NaN,NaN,NaN,"[None, 120, 120, 16]",230400,64
block1b_activation,Activation,"[None, 120, 120, 16]",230400,float32,NaN,NaN,swish,NaN,"[None, 120, 120, 16]",230400,0
block1b_se_squeeze,GlobalAveragePooling2D,"[None, 120, 120, 16]",230400,float32,NaN,NaN,NaN,NaN,"[None, 16]",16,0
block1b_se_reshape,Reshape,"[None, 16]",16,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 16]",16,0
block1b_se_reduce,Conv2D,"[None, 1, 1, 16]",16,float32,4,"[1, 1]",swish,True,"[None, 1, 1, 4]",4,68
block1b_se_expand,Conv2D,"[None, 1, 1, 4]",4,float32,16,"[1, 1]",sigmoid,True,"[None, 1, 1, 16]",16,80
block1b_se_excite,Multiply,"[None, 1, 1, 16]",16,float32,NaN,NaN,NaN,NaN,"[None, 120, 120, 16]",230400,0
block1b_project_conv,Conv2D,"[None, 120, 120, 16]",230400,float32,16,"[1, 1]",linear,False,"[None, 120, 120, 16]",230400,256
block1b_project_bn,BatchNormalization,"[None, 120, 120, 16]",230400,float32,NaN,NaN,NaN,NaN,"[None, 120, 120, 16]",230400,64
block1b_drop,FixedDropout,"[None, 120, 120, 16]",230400,float32,NaN,NaN,NaN,NaN,"[None, 120, 120, 16]",230400,0
block1b_add,Add,"[None, 120, 120, 16]",230400,float32,NaN,NaN,NaN,NaN,"[None, 120, 120, 16]",230400,0
block2a_expand_conv,Conv2D,"[None, 120, 120, 16]",230400,float32,96,"[1, 1]",linear,False,"[None, 120, 120, 96]",1382400,1536
block2a_expand_bn,BatchNormalization,"[None, 120, 120, 96]",1382400,float32,NaN,NaN,NaN,NaN,"[None, 120, 120, 96]",1382400,384
block2a_expand_activation,Activation,"[None, 120, 120, 96]",1382400,float32,NaN,NaN,swish,NaN,"[None, 120, 120, 96]",1382400,0
block2a_dwconv,DepthwiseConv2D,"[None, 120, 120, 96]",1382400,float32,NaN,"[3, 3]",linear,False,"[None, 60, 60, 96]",345600,864
block2a_bn,BatchNormalization,"[None, 60, 60, 96]",345600,float32,NaN,NaN,NaN,NaN,"[None, 60, 60, 96]",345600,384
block2a_activation,Activation,"[None, 60, 60, 96]",345600,float32,NaN,NaN,swish,NaN,"[None, 60, 60, 96]",345600,0
block2a_se_squeeze,GlobalAveragePooling2D,"[None, 60, 60, 96]",345600,float32,NaN,NaN,NaN,NaN,"[None, 96]",96,0
block2a_se_reshape,Reshape,"[None, 96]",96,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 96]",96,0
block2a_se_reduce,Conv2D,"[None, 1, 1, 96]",96,float32,4,"[1, 1]",swish,True,"[None, 1, 1, 4]",4,388
block2a_se_expand,Conv2D,"[None, 1, 1, 4]",4,float32,96,"[1, 1]",sigmoid,True,"[None, 1, 1, 96]",96,480
block2a_se_excite,Multiply,"[None, 1, 1, 96]",96,float32,NaN,NaN,NaN,NaN,"[None, 60, 60, 96]",345600,0
block2a_project_conv,Conv2D,"[None, 60, 60, 96]",345600,float32,24,"[1, 1]",linear,False,"[None, 60, 60, 24]",86400,2304
block2a_project_bn,BatchNormalization,"[None, 60, 60, 24]",86400,float32,NaN,NaN,NaN,NaN,"[None, 60, 60, 24]",86400,96
block2b_expand_conv,Conv2D,"[None, 60, 60, 24]",86400,float32,144,"[1, 1]",linear,False,"[None, 60, 60, 144]",518400,3456
block2b_expand_bn,BatchNormalization,"[None, 60, 60, 144]",518400,float32,NaN,NaN,NaN,NaN,"[None, 60, 60, 144]",518400,576
block2b_expand_activation,Activation,"[None, 60, 60, 144]",518400,float32,NaN,NaN,swish,NaN,"[None, 60, 60, 144]",518400,0
block2b_dwconv,DepthwiseConv2D,"[None, 60, 60, 144]",518400,float32,NaN,"[3, 3]",linear,False,"[None, 60, 60, 144]",518400,1296
block2b_bn,BatchNormalization,"[None, 60, 60, 144]",518400,float32,NaN,NaN,NaN,NaN,"[None, 60, 60, 144]",518400,576
block2b_activation,Activation,"[None, 60, 60, 144]",518400,float32,NaN,NaN,swish,NaN,"[None, 60, 60, 144]",518400,0
block2b_se_squeeze,GlobalAveragePooling2D,"[None, 60, 60, 144]",518400,float32,NaN,NaN,NaN,NaN,"[None, 144]",144,0
block2b_se_reshape,Reshape,"[None, 144]",144,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 144]",144,0
block2b_se_reduce,Conv2D,"[None, 1, 1, 144]",144,float32,6,"[1, 1]",swish,True,"[None, 1, 1, 6]",6,870
block2b_se_expand,Conv2D,"[None, 1, 1, 6]",6,float32,144,"[1, 1]",sigmoid,True,"[None, 1, 1, 144]",144,1008
block2b_se_excite,Multiply,"[None, 1, 1, 144]",144,float32,NaN,NaN,NaN,NaN,"[None, 60, 60, 144]",518400,0
block2b_project_conv,Conv2D,"[None, 60, 60, 144]",518400,float32,24,"[1, 1]",linear,False,"[None, 60, 60, 24]",86400,3456
block2b_project_bn,BatchNormalization,"[None, 60, 60, 24]",86400,float32,NaN,NaN,NaN,NaN,"[None, 60, 60, 24]",86400,96
block2b_drop,FixedDropout,"[None, 60, 60, 24]",86400,float32,NaN,NaN,NaN,NaN,"[None, 60, 60, 24]",86400,0
block2b_add,Add,"[None, 60, 60, 24]",86400,float32,NaN,NaN,NaN,NaN,"[None, 60, 60, 24]",86400,0
block2c_expand_conv,Conv2D,"[None, 60, 60, 24]",86400,float32,144,"[1, 1]",linear,False,"[None, 60, 60, 144]",518400,3456
block2c_expand_bn,BatchNormalization,"[None, 60, 60, 144]",518400,float32,NaN,NaN,NaN,NaN,"[None, 60, 60, 144]",518400,576
block2c_expand_activation,Activation,"[None, 60, 60, 144]",518400,float32,NaN,NaN,swish,NaN,"[None, 60, 60, 144]",518400,0
block2c_dwconv,DepthwiseConv2D,"[None, 60, 60, 144]",518400,float32,NaN,"[3, 3]",linear,False,"[None, 60, 60, 144]",518400,1296
block2c_bn,BatchNormalization,"[None, 60, 60, 144]",518400,float32,NaN,NaN,NaN,NaN,"[None, 60, 60, 144]",518400,576
block2c_activation,Activation,"[None, 60, 60, 144]",518400,float32,NaN,NaN,swish,NaN,"[None, 60, 60, 144]",518400,0
block2c_se_squeeze,GlobalAveragePooling2D,"[None, 60, 60, 144]",518400,float32,NaN,NaN,NaN,NaN,"[None, 144]",144,0
block2c_se_reshape,Reshape,"[None, 144]",144,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 144]",144,0
block2c_se_reduce,Conv2D,"[None, 1, 1, 144]",144,float32,6,"[1, 1]",swish,True,"[None, 1, 1, 6]",6,870
block2c_se_expand,Conv2D,"[None, 1, 1, 6]",6,float32,144,"[1, 1]",sigmoid,True,"[None, 1, 1, 144]",144,1008
block2c_se_excite,Multiply,"[None, 1, 1, 144]",144,float32,NaN,NaN,NaN,NaN,"[None, 60, 60, 144]",518400,0
block2c_project_conv,Conv2D,"[None, 60, 60, 144]",518400,float32,24,"[1, 1]",linear,False,"[None, 60, 60, 24]",86400,3456
block2c_project_bn,BatchNormalization,"[None, 60, 60, 24]",86400,float32,NaN,NaN,NaN,NaN,"[None, 60, 60, 24]",86400,96
block2c_drop,FixedDropout,"[None, 60, 60, 24]",86400,float32,NaN,NaN,NaN,NaN,"[None, 60, 60, 24]",86400,0
block2c_add,Add,"[None, 60, 60, 24]",86400,float32,NaN,NaN,NaN,NaN,"[None, 60, 60, 24]",86400,0
block3a_expand_conv,Conv2D,"[None, 60, 60, 24]",86400,float32,144,"[1, 1]",linear,False,"[None, 60, 60, 144]",518400,3456
block3a_expand_bn,BatchNormalization,"[None, 60, 60, 144]",518400,float32,NaN,NaN,NaN,NaN,"[None, 60, 60, 144]",518400,576
block3a_expand_activation,Activation,"[None, 60, 60, 144]",518400,float32,NaN,NaN,swish,NaN,"[None, 60, 60, 144]",518400,0
block3a_dwconv,DepthwiseConv2D,"[None, 60, 60, 144]",518400,float32,NaN,"[5, 5]",linear,False,"[None, 30, 30, 144]",129600,3600
block3a_bn,BatchNormalization,"[None, 30, 30, 144]",129600,float32,NaN,NaN,NaN,NaN,"[None, 30, 30, 144]",129600,576
block3a_activation,Activation,"[None, 30, 30, 144]",129600,float32,NaN,NaN,swish,NaN,"[None, 30, 30, 144]",129600,0
block3a_se_squeeze,GlobalAveragePooling2D,"[None, 30, 30, 144]",129600,float32,NaN,NaN,NaN,NaN,"[None, 144]",144,0
block3a_se_reshape,Reshape,"[None, 144]",144,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 144]",144,0
block3a_se_reduce,Conv2D,"[None, 1, 1, 144]",144,float32,6,"[1, 1]",swish,True,"[None, 1, 1, 6]",6,870
block3a_se_expand,Conv2D,"[None, 1, 1, 6]",6,float32,144,"[1, 1]",sigmoid,True,"[None, 1, 1, 144]",144,1008
block3a_se_excite,Multiply,"[None, 1, 1, 144]",144,float32,NaN,NaN,NaN,NaN,"[None, 30, 30, 144]",129600,0
block3a_project_conv,Conv2D,"[None, 30, 30, 144]",129600,float32,40,"[1, 1]",linear,False,"[None, 30, 30, 40]",36000,5760
block3a_project_bn,BatchNormalization,"[None, 30, 30, 40]",36000,float32,NaN,NaN,NaN,NaN,"[None, 30, 30, 40]",36000,160
block3b_expand_conv,Conv2D,"[None, 30, 30, 40]",36000,float32,240,"[1, 1]",linear,False,"[None, 30, 30, 240]",216000,9600
block3b_expand_bn,BatchNormalization,"[None, 30, 30, 240]",216000,float32,NaN,NaN,NaN,NaN,"[None, 30, 30, 240]",216000,960
block3b_expand_activation,Activation,"[None, 30, 30, 240]",216000,float32,NaN,NaN,swish,NaN,"[None, 30, 30, 240]",216000,0
block3b_dwconv,DepthwiseConv2D,"[None, 30, 30, 240]",216000,float32,NaN,"[5, 5]",linear,False,"[None, 30, 30, 240]",216000,6000
block3b_bn,BatchNormalization,"[None, 30, 30, 240]",216000,float32,NaN,NaN,NaN,NaN,"[None, 30, 30, 240]",216000,960
block3b_activation,Activation,"[None, 30, 30, 240]",216000,float32,NaN,NaN,swish,NaN,"[None, 30, 30, 240]",216000,0
block3b_se_squeeze,GlobalAveragePooling2D,"[None, 30, 30, 240]",216000,float32,NaN,NaN,NaN,NaN,"[None, 240]",240,0
block3b_se_reshape,Reshape,"[None, 240]",240,float32,NaN,NaN,NaN,NaN,"[None, 1, 1, 240]",240,0
