layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 240, 240, 3]",172800,float32,NaN,NaN,NaN,NaN,"[None, 240, 240, 3]",172800,0
Conv1_pad,ZeroPadding2D,"[None, 240, 240, 3]",172800,float32,NaN,NaN,NaN,NaN,"[None, 241, 241, 3]",174243,0
Conv1,Conv2D,"[None, 241, 241, 3]",174243,float32,32,"[3, 3]",linear,False,"[None, 120, 120, 32]",460800,864
bn_Conv1,BatchNormalization,"[None, 120, 120, 32]",460800,float32,NaN,NaN,NaN,NaN,"[None, 120, 120, 32]",460800,128
Conv1_relu,ReLU,"[None, 120, 120, 32]",460800,float32,NaN,NaN,NaN,NaN,"[None, 120, 120, 32]",460800,0
expanded_conv_depthwise,DepthwiseConv2D,"[None, 120, 120, 32]",460800,float32,NaN,"[3, 3]",linear,False,"[None, 120, 120, 32]",460800,288
expanded_conv_depthwise_BN,BatchNormalization,"[None, 120, 120, 32]",460800,float32,NaN,NaN,NaN,NaN,"[None, 120, 120, 32]",460800,128
expanded_conv_depthwise_relu,ReLU,"[None, 120, 120, 32]",460800,float32,NaN,NaN,NaN,NaN,"[None, 120, 120, 32]",460800,0
expanded_conv_project,Conv2D,"[None, 120, 120, 32]",460800,float32,16,"[1, 1]",linear,False,"[None, 120, 120, 16]",230400,512
expanded_conv_project_BN,BatchNormalization,"[None, 120, 120, 16]",230400,float32,NaN,NaN,NaN,NaN,"[None, 120, 120, 16]",230400,64
block_1_expand,Conv2D,"[None, 120, 120, 16]",230400,float32,96,"[1, 1]",linear,False,"[None, 120, 120, 96]",1382400,1536
block_1_expand_BN,BatchNormalization,"[None, 120, 120, 96]",1382400,float32,NaN,NaN,NaN,NaN,"[None, 120, 120, 96]",1382400,384
block_1_expand_relu,ReLU,"[None, 120, 120, 96]",1382400,float32,NaN,NaN,NaN,NaN,"[None, 120, 120, 96]",1382400,0
block_1_pad,ZeroPadding2D,"[None, 120, 120, 96]",1382400,float32,NaN,NaN,NaN,NaN,"[None, 121, 121, 96]",1405536,0
block_1_depthwise,DepthwiseConv2D,"[None, 121, 121, 96]",1405536,float32,NaN,"[3, 3]",linear,False,"[None, 60, 60, 96]",345600,864
block_1_depthwise_BN,BatchNormalization,"[None, 60, 60, 96]",345600,float32,NaN,NaN,NaN,NaN,"[None, 60, 60, 96]",345600,384
block_1_depthwise_relu,ReLU,"[None, 60, 60, 96]",345600,float32,NaN,NaN,NaN,NaN,"[None, 60, 60, 96]",345600,0
block_1_project,Conv2D,"[None, 60, 60, 96]",345600,float32,24,"[1, 1]",linear,False,"[None, 60, 60, 24]",86400,2304
block_1_project_BN,BatchNormalization,"[None, 60, 60, 24]",86400,float32,NaN,NaN,NaN,NaN,"[None, 60, 60, 24]",86400,96
block_2_expand,Conv2D,"[None, 60, 60, 24]",86400,float32,144,"[1, 1]",linear,False,"[None, 60, 60, 144]",518400,3456
