layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 240, 240, 3]",172800,float32,NaN,NaN,NaN,NaN,"[None, 240, 240, 3]",172800,0
stem_conv1,Conv2D,"[None, 240, 240, 3]",172800,float32,96,"[3, 3]",linear,False,"[None, 119, 119, 96]",1359456,2592
stem_bn1,BatchNormalization,"[None, 119, 119, 96]",1359456,float32,NaN,NaN,NaN,NaN,"[None, 119, 119, 96]",1359456,384
activation_1,Activation,"[None, 119, 119, 96]",1359456,float32,NaN,NaN,relu,NaN,"[None, 119, 119, 96]",1359456,0
reduction_conv_1_stem_1,Conv2D,"[None, 119, 119, 96]",1359456,float32,42,"[1, 1]",linear,False,"[None, 119, 119, 42]",594762,4032
reduction_bn_1_stem_1,BatchNormalization,"[None, 119, 119, 42]",594762,float32,NaN,NaN,NaN,NaN,"[None, 119, 119, 42]",594762,168
activation_2,Activation,"[None, 119, 119, 42]",594762,float32,NaN,NaN,relu,NaN,"[None, 119, 119, 42]",594762,0
activation_4,Activation,"[None, 119, 119, 42]",594762,float32,NaN,NaN,relu,NaN,"[None, 119, 119, 96]",1359456,0
separable_conv_1_pad_reduction_left1_stem_1,ZeroPadding2D,"[None, 119, 119, 96]",1359456,float32,NaN,NaN,NaN,NaN,"[None, 123, 123, 42]",635418,0
separable_conv_1_pad_reduction_right1_stem_1,ZeroPadding2D,"[None, 123, 123, 42]",635418,float32,NaN,NaN,NaN,NaN,"[None, 125, 125, 96]",1500000,0
separable_conv_1_reduction_left1_stem_1,SeparableConv2D,"[None, 125, 125, 96]",1500000,float32,42,"[5, 5]",linear,False,"[None, 60, 60, 42]",151200,2814
separable_conv_1_reduction_right1_stem_1,SeparableConv2D,"[None, 60, 60, 42]",151200,float32,42,"[7, 7]",linear,False,"[None, 60, 60, 42]",151200,8736
separable_conv_1_bn_reduction_left1_stem_1,BatchNormalization,"[None, 60, 60, 42]",151200,float32,NaN,NaN,NaN,NaN,"[None, 60, 60, 42]",151200,168
separable_conv_1_bn_reduction_right1_stem_1,BatchNormalization,"[None, 60, 60, 42]",151200,float32,NaN,NaN,NaN,NaN,"[None, 60, 60, 42]",151200,168
activation_3,Activation,"[None, 60, 60, 42]",151200,float32,NaN,NaN,relu,NaN,"[None, 60, 60, 42]",151200,0
activation_5,Activation,"[None, 60, 60, 42]",151200,float32,NaN,NaN,relu,NaN,"[None, 60, 60, 42]",151200,0
separable_conv_2_reduction_left1_stem_1,SeparableConv2D,"[None, 60, 60, 42]",151200,float32,42,"[5, 5]",linear,False,"[None, 60, 60, 42]",151200,2814
