layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 240, 240, 3]",172800,float32,NaN,NaN,NaN,NaN,"[None, 240, 240, 3]",172800,0
conv1_pad,ZeroPadding2D,"[None, 240, 240, 3]",172800,float32,NaN,NaN,NaN,NaN,"[None, 246, 246, 3]",181548,0
conv1_conv,Conv2D,"[None, 246, 246, 3]",181548,float32,64,"[7, 7]",linear,True,"[None, 120, 120, 64]",921600,9472
conv1_bn,BatchNormalization,"[None, 120, 120, 64]",921600,float32,NaN,NaN,NaN,NaN,"[None, 120, 120, 64]",921600,256
conv1_relu,Activation,"[None, 120, 120, 64]",921600,float32,NaN,NaN,relu,NaN,"[None, 120, 120, 64]",921600,0
pool1_pad,ZeroPadding2D,"[None, 120, 120, 64]",921600,float32,NaN,NaN,NaN,NaN,"[None, 122, 122, 64]",952576,0
pool1_pool,MaxPooling2D,"[None, 122, 122, 64]",952576,float32,NaN,NaN,NaN,NaN,"[None, 60, 60, 64]",230400,0
conv2_block1_1_conv,Conv2D,"[None, 60, 60, 64]",230400,float32,64,"[1, 1]",linear,True,"[None, 60, 60, 64]",230400,4160
conv2_block1_1_bn,BatchNormalization,"[None, 60, 60, 64]",230400,float32,NaN,NaN,NaN,NaN,"[None, 60, 60, 64]",230400,256
conv2_block1_1_relu,Activation,"[None, 60, 60, 64]",230400,float32,NaN,NaN,relu,NaN,"[None, 60, 60, 64]",230400,0
conv2_block1_2_conv,Conv2D,"[None, 60, 60, 64]",230400,float32,64,"[3, 3]",linear,True,"[None, 60, 60, 64]",230400,36928
conv2_block1_2_bn,BatchNormalization,"[None, 60, 60, 64]",230400,float32,NaN,NaN,NaN,NaN,"[None, 60, 60, 64]",230400,256
conv2_block1_2_relu,Activation,"[None, 60, 60, 64]",230400,float32,NaN,NaN,relu,NaN,"[None, 60, 60, 64]",230400,0
conv2_block1_0_conv,Conv2D,"[None, 60, 60, 64]",230400,float32,256,"[1, 1]",linear,True,"[None, 60, 60, 256]",921600,16640
