layer_name,class_name,input_shape,activation_in_size,d_type,Filters,Filter_size,Activ_fun,use_B,output_shape,activation_out_size,Params
input_1,InputLayer,"[None, 240, 240, 3]",172800,float32,NaN,NaN,NaN,NaN,"[None, 240, 240, 3]",172800,0
block1_conv1,Conv2D,"[None, 240, 240, 3]",172800,float32,32,"[3, 3]",linear,False,"[None, 119, 119, 32]",453152,864
block1_conv1_bn,BatchNormalization,"[None, 119, 119, 32]",453152,float32,NaN,NaN,NaN,NaN,"[None, 119, 119, 32]",453152,128
block1_conv1_act,Activation,"[None, 119, 119, 32]",453152,float32,NaN,NaN,relu,NaN,"[None, 119, 119, 32]",453152,0
block1_conv2,Conv2D,"[None, 119, 119, 32]",453152,float32,64,"[3, 3]",linear,False,"[None, 117, 117, 64]",876096,18432
block1_conv2_bn,BatchNormalization,"[None, 117, 117, 64]",876096,float32,NaN,NaN,NaN,NaN,"[None, 117, 117, 64]",876096,256
block1_conv2_act,Activation,"[None, 117, 117, 64]",876096,float32,NaN,NaN,relu,NaN,"[None, 117, 117, 64]",876096,0
block2_sepconv1,SeparableConv2D,"[None, 117, 117, 64]",876096,float32,128,"[3, 3]",linear,False,"[None, 117, 117, 128]",1752192,8768
block2_sepconv1_bn,BatchNormalization,"[None, 117, 117, 128]",1752192,float32,NaN,NaN,NaN,NaN,"[None, 117, 117, 128]",1752192,512
block2_sepconv2_act,Activation,"[None, 117, 117, 128]",1752192,float32,NaN,NaN,relu,NaN,"[None, 117, 117, 128]",1752192,0
block2_sepconv2,SeparableConv2D,"[None, 117, 117, 128]",1752192,float32,128,"[3, 3]",linear,False,"[None, 117, 117, 128]",1752192,17536
block2_sepconv2_bn,BatchNormalization,"[None, 117, 117, 128]",1752192,float32,NaN,NaN,NaN,NaN,"[None, 117, 117, 128]",1752192,512
conv2d_1,Conv2D,"[None, 117, 117, 128]",1752192,float32,128,"[1, 1]",linear,False,"[None, 59, 59, 128]",445568,8192
block2_pool,MaxPooling2D,"[None, 59, 59, 128]",445568,float32,NaN,NaN,NaN,NaN,"[None, 59, 59, 128]",445568,0
batch_normalization_1,BatchNormalization,"[None, 59, 59, 128]",445568,float32,NaN,NaN,NaN,NaN,"[None, 59, 59, 128]",445568,512
add_1,Add,"[None, 59, 59, 128]",445568,float32,NaN,NaN,NaN,NaN,"[None, 59, 59, 128]",445568,0
